name,count,Дрель-миксер Энкор ДМЭ-1200/16ЭР (50099),Дрель безударная Энкор ДЭ-380ЭР/10 (50067),Дрель-миксер Вихрь Д-1000М (72/8/8),Дрель-миксер Фиолент МД1-11Э (ИДФР298179001-К7),Дрель-миксер Фиолент МД2-7-РЭ (ИДФР298179002-К2),Электрическая дрель-миксер PATRIOT DM 100 (120301100) ,Дрель безударная Makita 6408,Дрель безударная Bosch GBM 13-2 RE Professional (0 601 1B2 000) ,Дрель безударная DeWalt DWD112S-KS,Дрель безударная BOSCH GBM 6 RE Professional (0 601 472 600),Безударная дрель Bosch GBM 13 HRE Professional (0 601 049 603),Дрель безударная DeWalt DWD014S-QS,Пневматическая дрель Sumake ST-4431С,Дрель безударная PATRIOT FD 500 (120301420) ,Дрель пневматическая Patriot PD140S (830902045),Угловая пневмодрель Sumake ST-7260/4435,Дрель безударная Metabo BE 10 (600133810),Дрель безударная PATRIOT FD 450 (120301410) ,Дрель безударная Metabo BE 850-2 (600573000),Дрель Bosch GBM 23-2 E 0 601 121 608,Дрель Bosch GBM 10 RE Professional (0 601 473 600),Дрель безударная Makita DF 0300,Пневмодрель FUBAG DR142/1800 100115 ,Дрель безударная Stanley STDR5510C-RU,Электрическая дрель-миксер PATRIOT DM 120 (120301120),Дрель-миксер Makita DS4010,Электрическая дрель-миксер PATRIOT DM 150 (120301150) ,Дрель-миксер Makita DS 4011,Дрель-миксер Makita UT1400,Дрель-миксер Sturm ID2016M ,Дрель Metabo BDE 1100,Дрель безударная Metabo BE 10 (600133000),Пневматическая дрель Sumake ST-4431,Пневматическая дрель Metabo DB 10,Дрель угловая аккумуляторная DeWalt DCD740N-XJ,"Дрель пневматическая ""Пневмомакс"" СМ21-6-12000",Пневмодрель SUMAKE ST-M3031 4119160 ,Дрель Hikoki D13VGNSZ,Пневматическая дрель Fubag DRS1800,Дрель Makita DP4010,Безударная дрель-миксер Bosch GBM 1600 RE Professional (0 601 1B0 000),Дрель безударная PATRIOT FD 420 (120301415) ,Дрель безударная PATRIOT FD 401 The One (120301401) ,Дрель пневматическая .СМ-11-6-3600,Дрель пневм ST-P4431C,Пневматическая дрель Sumake ST-4131,Реверсивная пневмодрель JTC 3320A ,Дрель-миксер Makita UT2204,Дрель безударная Makita DP4001,Дрель безударная DeWalt DWD115KS-QS,Дрель безударная Metabo BE 75-16 (600580000),Аккумуляторная угловая дрель Makita DA331DZ,Угловая безударная дрель Metabo WBE 700 (600512000),Дрель безударная Makita DP4003,Дрель безударная Makita DP4011,Дрель безударная DeWalt DW217-QS,Дрель безударная Makita DP2011,Дрель Makita 6300-4,Дрель Makita 6501,Дрель безударная Makita DP4700,Сверлильная машина Diam ML-102/2Н (620067) ,Дрель для алмазного бурения BOSCH GDB 180 WE Professional (0 601 189 800),Дрель алмазного  бурения Диам ML-160/2НIT (620088),Дрель алмазного сверления Husqvarna DM 340 (9659872-07),Дрель для алмазного бурения Husqvarna Construction DM280 Low (9665541-01) ,Дрель для алмазного бурения DeWalt D21585-QS,Дрель для алмазного бурения Makita DBM 131,Дрель для алмазного бурения DeWalt D21583K-QS,Установка алмазного  бурения WEKA DK32 (531201193),Дрель для алмазного бурения BOSCH GDB 350 WE Professional (0 601 189 900),Дрель на магнитной подошве Metabo MAG 32 (600635500) ,Дрель на магнитной стойке Bosch GBM 50-2 professional (0 601 1B4 020),Магнитная дрель Metabo MAG 50 (600636500),Дрель на магнитной стойке Диам DIAM EX-35E (624000),Дрель на магнитной стойке Диам DIAM EX-50E (624001),Дрель на магнитной стойке LENZ STEYR-35,Дрель на магнитной стойке Euroboor ECO 100/4D (16072299),Дрель на магнитной подошве DeWalt DWE1622K-QS,Магнитный сверлильный станок Энкор Корвет 440 (94400),Магнитный сверлильный станок Энкор Корвет 441 (94410),Магнитный электрический сверлильный станок Rotabroach COMMANDO 40 (4284),Ударная дрель Энкор ДУЭ-900ЭР/13М (50082),Ударная дрель Энкор ДУЭ-2 1150ЭР/13М (50092),Ударная дрель Энкор ДУЭ-750ЭР/13М (50081),Ударная дрель Энкор ДУЭ-710ЭР/13М (50079),Шуруповерт аккумуляторный ударный Bosch GSB 18V-60 C Professional (0 601 9G2 102),Аккумуляторный бесщеточный ударный шуруповерт Bosch  GSB 12V-30 Professional (0 601 9G9 120),Аккумуляторный ударный шуруповерт STANLEY SBH20D2K-RU,Дрель-шуруповерт аккумуляторная GREENWORKS G24DDX (3703307),Аккумуляторная дрель-шуруповерт Ресанта ДА-24-2ЛК-У (75/14/8),Аккумуляторная ударная дрель-шуруповерт DeWalt (DCD796P2-QW),Аккумуляторный ударный шуруповерт DeWalt DCD796D2-QW,Аккумуляторная дрель-шуруповерт PATRIOT BR 210Li-h UES (180301555) ,Аккумуляторная дрель-шуруповерт Вихрь ДА-18Л-2кУ (72/14/17),Аккумуляторная ударная дрель-шуруповерт Makita HP457DWE,Шуруповерт аккумуляторный ударный PATRIOT BR 201UES-h (180201205),Аккумуляторная дрель-шуруповерт Вихрь ДА-24Л-2кУ (72/14/19),Аккумуляторная дрель-шуруповерт DeWalt (DCD776S2-KS),Аккумуляторная ударная дрель-шуруповерт Stanley SCH201D2K-RU,Аккумуляторный ударный шуруповерт Bosch GSB 18V-50 Professional (0 601 9H5 120),Аккумуляторная дрель-шуруповерт PATRIOT BR 180Li-h (180301460) ,Шуруповерт аккумуляторный Hikoki DS18DBL2 ,Аккумуляторная ударная дрель-шуруповерт Stanley SCH12S2-RU,Шуруповерт аккумуляторный ударный BOSCH GSB120-LI Professional (0 601 9G8 100),Аккумуляторная дрель-шуруповерт Вихрь ДА-18Л-2КУ/Б (72/14/23),Аккумуляторная ударная дрель-шуруповерт Makita HP347DWE,Аккумуляторная ударная дрель-шуруповерт Stanley STDC18LHBK-RU,Шуруповерт аккумуляторный ударный STANLEY SCH121S2K-RU,Шуруповерт аккумуляторный ударный Bosch GSB180-LI Professional (0 601 9F8 323),Аккумуляторная ударная дрель-шуруповерт Metabo PowerMaxx SB 12 Solo (601076840),Ударная дрель BOSCH GSB 1600 RE Professional (0 601 218 121),Ударная дрель Metabo SBEV 1100-2 S (600784500) ,Ударная дрель Metabo SBE 760 SP (600841000),Ударная дрель Metabo SBEV 1300-2 VTC (600785000),Ударная дрель Stanley STDH8013C-RU,Ударная дрель Metabo SBE 650 (600742000),Ударная дрель DeWalt (DWD024S-KS),Ударная дрель Stanley STDH8013-RU,Ударная дрель Stanley SDH700-RU,Дрель ударная Hikoki DV16VSSNSZ (зубчато-венцовый патрон),Ударная дрель Metabo SBEV 1300-2 (600785500),Ударная дрель Bosch GSB 20-2 0 (601 17B 400),Дрель ударная Stanley SDH600C-RU,Ударная дрель Metabo SBE 780-2 (600781510),Ударная дрель DeWalt DWD024-KS,Ударная дрель DeWalt D21805KS-QS,Ударная дрель Metabo SBE 760 SP (600841850),Двухскоростная ударная дрель Makita HP 2051 F,Ударная дрель Makita HP1631 ,Ударная дрель BOSCH GSB 162-2 RE Professional (0 601 18B 000),Электрическая ударная дрель PATRIOT FD 600H (120301440) ,Ударная дрель Bosch GSB 24-2 0 (601 19C 801),Дрель ударная Bosch GSB 13 RE БЗП (0 601 217 1R1),Ударная дрель Metabo SBEV 1000-2 VTC (600783500),Ударная дрель Metabo SBE 650 (600742850),Дрель ударная Bosch GSB 570 Professional (0 601 187 0R0),Двухскоростная ударная дрель Makita HP 2070 F,Ударная дрель Makita HP1630K,Ударная дрель Makita HP 1630,Ударная дрель Metabo SBE 780-2  (600781000),Ударная электрическая дрель PATRIOT FD750h (120301444) 
Дрель-миксер Энкор ДМЭ-1200/16ЭР (50099),62,100.0,27.42,32.26,27.42,25.81,30.65,25.81,32.26,29.03,22.58,35.48,29.03,16.13,27.42,6.45,16.13,29.03,25.81,35.48,32.26,25.81,25.81,3.23,27.42,27.42,41.94,22.58,38.71,25.81,30.65,46.77,32.26,19.35,12.9,12.9,3.23,12.9,22.58,3.23,32.26,0.0,27.42,25.81,0.0,0.0,19.35,12.9,25.81,32.26,25.81,43.55,16.13,32.26,32.26,32.26,29.03,29.03,43.55,32.26,32.26,19.35,16.13,12.9,12.9,12.9,16.13,16.13,16.13,12.9,16.13,3.23,11.29,11.29,3.23,3.23,3.23,3.23,11.29,0.0,0.0,3.23,33.87,37.1,25.81,25.81,16.13,12.9,11.29,6.45,14.52,12.9,12.9,17.74,14.52,16.13,11.29,14.52,20.97,11.29,12.9,11.29,12.9,0.0,12.9,14.52,12.9,11.29,11.29,16.13,12.9,40.32,30.65,25.81,40.32,24.19,40.32,32.26,27.42,27.42,22.58,24.19,22.58,20.97,29.03,35.48,29.03,29.03,25.81,40.32,32.26,30.65,30.65,9.68,33.87,37.1,32.26,37.1,43.55,25.81,25.81,30.65
Дрель безударная Энкор ДЭ-380ЭР/10 (50067),68,25.0,100.0,20.59,14.71,14.71,25.0,48.53,39.71,45.59,44.12,29.41,48.53,20.59,61.76,27.94,14.71,52.94,58.82,29.41,20.59,48.53,48.53,17.65,47.06,25.0,17.65,20.59,14.71,17.65,25.0,20.59,50.0,17.65,14.71,22.06,2.94,27.94,23.53,14.71,20.59,2.94,66.18,64.71,5.88,0.0,17.65,30.88,11.76,32.35,42.65,29.41,27.94,36.76,32.35,32.35,48.53,47.06,20.59,26.47,32.35,11.76,11.76,11.76,17.65,17.65,20.59,14.71,14.71,14.71,11.76,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,0.0,0.0,2.94,35.29,29.41,38.24,35.29,17.65,35.29,19.12,17.65,23.53,14.71,14.71,14.71,23.53,20.59,22.06,23.53,17.65,22.06,17.65,22.06,11.76,0.0,20.59,20.59,33.82,22.06,45.59,17.65,30.88,32.35,26.47,17.65,14.71,27.94,29.41,35.29,25.0,27.94,29.41,26.47,23.53,25.0,11.76,29.41,26.47,26.47,20.59,32.35,20.59,36.76,23.53,10.29,14.71,32.35,29.41,20.59,29.41,26.47,29.41,36.76
Дрель-миксер Вихрь Д-1000М (72/8/8),44,45.45,31.82,100.0,22.73,27.27,31.82,34.09,38.64,27.27,29.55,43.18,27.27,13.64,31.82,9.09,13.64,34.09,36.36,43.18,36.36,34.09,34.09,4.55,27.27,36.36,47.73,31.82,43.18,34.09,31.82,36.36,38.64,18.18,4.55,9.09,4.55,18.18,27.27,4.55,36.36,0.0,31.82,43.18,0.0,0.0,18.18,18.18,34.09,38.64,22.73,43.18,20.45,38.64,38.64,38.64,27.27,38.64,40.91,36.36,38.64,29.55,29.55,25.0,25.0,25.0,22.73,29.55,22.73,25.0,29.55,22.73,11.36,11.36,11.36,11.36,11.36,11.36,4.55,0.0,0.0,11.36,36.36,36.36,36.36,36.36,20.45,15.91,9.09,9.09,9.09,9.09,9.09,9.09,15.91,15.91,9.09,15.91,9.09,9.09,15.91,9.09,9.09,0.0,15.91,15.91,15.91,9.09,9.09,15.91,15.91,38.64,22.73,27.27,31.82,27.27,38.64,38.64,31.82,31.82,31.82,29.55,29.55,22.73,27.27,43.18,34.09,34.09,34.09,38.64,34.09,36.36,29.55,9.09,22.73,34.09,38.64,38.64,43.18,34.09,34.09,36.36
Дрель-миксер Фиолент МД1-11Э (ИДФР298179001-К7),58,29.31,17.24,17.24,100.0,29.31,31.03,17.24,17.24,17.24,13.79,25.86,17.24,3.45,20.69,3.45,6.9,17.24,20.69,25.86,20.69,17.24,17.24,3.45,13.79,27.59,27.59,27.59,24.14,27.59,31.03,34.48,17.24,3.45,3.45,3.45,6.9,6.9,24.14,0.0,25.86,0.0,17.24,17.24,3.45,0.0,3.45,6.9,17.24,20.69,13.79,25.86,6.9,20.69,20.69,25.86,17.24,17.24,17.24,17.24,17.24,17.24,13.79,13.79,13.79,13.79,17.24,13.79,13.79,13.79,13.79,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,0.0,0.0,3.45,17.24,17.24,17.24,17.24,6.9,3.45,3.45,12.07,3.45,12.07,12.07,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,12.07,6.9,0.0,3.45,3.45,3.45,3.45,3.45,3.45,3.45,17.24,34.48,22.41,31.03,13.79,20.69,17.24,13.79,13.79,20.69,34.48,25.86,10.34,18.97,17.24,13.79,22.41,22.41,13.79,10.34,20.69,34.48,3.45,27.59,20.69,20.69,31.03,13.79,17.24,29.31,20.69
Дрель-миксер Фиолент МД2-7-РЭ (ИДФР298179002-К2),62,25.81,16.13,19.35,27.42,100.0,16.13,27.42,25.81,35.48,16.13,37.1,27.42,3.23,30.65,6.45,3.23,19.35,22.58,37.1,16.13,24.19,16.13,0.0,30.65,12.9,32.26,16.13,29.03,12.9,16.13,19.35,22.58,6.45,0.0,6.45,0.0,9.68,43.55,3.23,33.87,0.0,16.13,19.35,0.0,0.0,6.45,9.68,9.68,33.87,38.71,29.03,6.45,27.42,33.87,33.87,19.35,16.13,33.87,19.35,33.87,19.35,16.13,16.13,9.68,9.68,12.9,16.13,16.13,12.9,12.9,3.23,3.23,3.23,3.23,3.23,3.23,3.23,3.23,0.0,0.0,3.23,33.87,37.1,41.94,41.94,20.97,12.9,24.19,24.19,9.68,24.19,27.42,27.42,9.68,27.42,9.68,9.68,24.19,24.19,27.42,16.13,27.42,0.0,12.9,9.68,17.74,24.19,9.68,27.42,12.9,33.87,29.03,27.42,25.81,27.42,40.32,41.94,30.65,30.65,37.1,29.03,37.1,32.26,40.32,45.16,37.1,37.1,33.87,30.65,22.58,45.16,29.03,24.19,25.81,37.1,48.39,29.03,40.32,32.26,33.87,45.16
Электрическая дрель-миксер PATRIOT DM 100 (120301100) ,50,38.0,34.0,28.0,36.0,20.0,100.0,24.0,20.0,24.0,20.0,20.0,24.0,12.0,30.0,8.0,16.0,24.0,24.0,20.0,24.0,24.0,24.0,8.0,26.0,50.0,28.0,44.0,24.0,40.0,54.0,20.0,24.0,12.0,12.0,8.0,8.0,8.0,16.0,0.0,20.0,0.0,34.0,28.0,4.0,0.0,12.0,12.0,24.0,20.0,20.0,20.0,12.0,24.0,20.0,20.0,24.0,28.0,24.0,28.0,20.0,20.0,16.0,16.0,20.0,20.0,24.0,16.0,16.0,20.0,16.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,20.0,20.0,20.0,20.0,12.0,8.0,14.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,14.0,8.0,8.0,14.0,8.0,14.0,4.0,0.0,8.0,8.0,8.0,14.0,14.0,8.0,8.0,20.0,16.0,16.0,16.0,22.0,20.0,20.0,22.0,22.0,20.0,16.0,16.0,18.0,12.0,20.0,16.0,16.0,16.0,20.0,12.0,30.0,16.0,4.0,12.0,20.0,20.0,16.0,20.0,16.0,20.0,30.0
Дрель безударная Makita 6408,72,22.22,45.83,20.83,13.89,23.61,16.67,100.0,47.22,63.89,48.61,40.28,58.33,25.0,50.0,26.39,19.44,58.33,40.28,37.5,25.0,68.06,61.11,16.67,47.22,16.67,29.17,16.67,26.39,29.17,16.67,25.0,55.56,22.22,16.67,29.17,2.78,26.39,25.0,11.11,25.0,5.56,51.39,47.22,2.78,0.0,22.22,23.61,23.61,45.83,63.89,40.28,33.33,56.94,43.06,40.28,44.44,48.61,25.0,30.56,43.06,15.28,15.28,15.28,20.83,20.83,19.44,18.06,13.89,18.06,15.28,6.94,6.94,6.94,6.94,6.94,6.94,6.94,2.78,0.0,0.0,6.94,27.78,22.22,34.72,37.5,29.17,38.89,16.67,19.44,22.22,22.22,22.22,16.67,26.39,31.94,19.44,26.39,25.0,19.44,29.17,19.44,19.44,0.0,31.94,23.61,48.61,19.44,31.94,29.17,41.67,43.06,30.56,25.0,22.22,25.0,40.28,50.0,22.22,19.44,30.56,29.17,31.94,29.17,19.44,50.0,40.28,37.5,31.94,40.28,29.17,34.72,31.94,16.67,22.22,45.83,47.22,34.72,37.5,37.5,37.5,34.72
Дрель безударная Bosch GBM 13-2 RE Professional (0 601 1B2 000) ,80,25.0,33.75,21.25,12.5,20.0,12.5,42.5,100.0,41.25,38.75,46.25,38.75,15.0,33.75,16.25,10.0,47.5,28.75,46.25,27.5,45.0,45.0,5.0,31.25,12.5,40.0,15.0,37.5,21.25,12.5,27.5,45.0,12.5,7.5,18.75,2.5,16.25,27.5,5.0,32.5,5.0,33.75,37.5,0.0,0.0,12.5,16.25,21.25,52.5,41.25,55.0,25.0,45.0,52.5,46.25,35.0,33.75,30.0,22.5,46.25,16.25,18.75,13.75,16.25,16.25,15.0,18.75,15.0,13.75,18.75,8.75,8.75,8.75,6.25,6.25,6.25,6.25,2.5,0.0,0.0,6.25,30.0,32.5,36.25,32.5,31.25,32.5,17.5,20.0,15.0,22.5,22.5,17.5,18.75,33.75,15.0,18.75,25.0,20.0,28.75,20.0,22.5,0.0,28.75,16.25,32.5,20.0,21.25,31.25,35.0,46.25,32.5,32.5,32.5,36.25,43.75,43.75,31.25,26.25,30.0,36.25,38.75,25.0,30.0,50.0,46.25,46.25,36.25,43.75,31.25,27.5,38.75,16.25,32.5,46.25,43.75,41.25,41.25,36.25,46.25,27.5
Дрель безударная DeWalt DWD112S-KS,74,24.32,41.89,16.22,13.51,29.73,16.22,62.16,44.59,100.0,43.24,37.84,63.51,24.32,45.95,25.68,18.92,55.41,40.54,32.43,24.32,59.46,50.0,16.22,45.95,16.22,24.32,20.27,21.62,21.62,16.22,24.32,52.7,21.62,16.22,32.43,2.7,25.68,31.08,10.81,24.32,5.41,44.59,39.19,2.7,0.0,21.62,22.97,16.22,40.54,81.08,37.84,28.38,54.05,40.54,35.14,52.7,40.54,24.32,29.73,40.54,10.81,10.81,10.81,16.22,16.22,25.68,13.51,17.57,13.51,10.81,2.7,2.7,2.7,2.7,2.7,2.7,2.7,9.46,0.0,0.0,2.7,27.03,24.32,33.78,39.19,24.32,31.08,16.22,18.92,21.62,31.08,28.38,20.27,21.62,29.73,18.92,21.62,33.78,18.92,21.62,18.92,22.97,0.0,29.73,18.92,43.24,18.92,28.38,24.32,33.78,50.0,29.73,24.32,24.32,24.32,40.54,50.0,21.62,18.92,33.78,24.32,27.03,28.38,21.62,47.3,37.84,32.43,24.32,37.84,27.03,33.78,27.03,21.62,24.32,43.24,44.59,27.03,35.14,32.43,32.43,36.49
Дрель безударная BOSCH GBM 6 RE Professional (0 601 472 600),74,18.92,40.54,17.57,10.81,13.51,13.51,47.3,41.89,43.24,100.0,41.89,37.84,24.32,32.43,18.92,18.92,47.3,29.73,36.49,21.62,50.0,47.3,16.22,35.14,13.51,25.68,13.51,22.97,22.97,13.51,21.62,44.59,21.62,18.92,18.92,9.46,18.92,24.32,10.81,24.32,5.41,37.84,36.49,5.41,0.0,21.62,18.92,17.57,41.89,37.84,41.89,25.68,39.19,41.89,36.49,45.95,51.35,24.32,27.03,41.89,12.16,14.86,12.16,17.57,22.97,16.22,14.86,10.81,14.86,14.86,9.46,9.46,9.46,6.76,6.76,6.76,6.76,2.7,0.0,0.0,6.76,27.03,21.62,27.03,29.73,33.78,36.49,18.92,21.62,21.62,24.32,24.32,18.92,25.68,33.78,18.92,25.68,27.03,21.62,31.08,21.62,21.62,0.0,43.24,22.97,33.78,21.62,24.32,33.78,39.19,41.89,29.73,27.03,24.32,27.03,41.89,39.19,24.32,16.22,29.73,31.08,33.78,24.32,21.62,39.19,36.49,36.49,28.38,39.19,25.68,27.03,33.78,5.41,24.32,44.59,41.89,31.08,36.49,36.49,39.19,27.03
