name,count,Аккумуляторный ударный гайковерт BOSCH GDX 18V-200 C Professional (0 615 990 M46),Гайковерт аккумуляторный 1/2' DeWalt DCF899N-XJ,Гайковерт аккумуляторный 1/2' Bosch GDS 18V-400 Professional (0 601 9K0 020),Аккумуляторный ударный гайковерт DeWalt DCF815D2-QW,Аккумуляторный гайковерт Bosch GDS 250-LI Professional (0 601 9G6 120),Аккумуляторный ударный гайковерт Stanley SBI201D2K,Аккумуляторный импульсный шуруповерт 18.0 В XR DEWALT DCF887N-XJ ,Аккумуляторный гайковерт Bosch GDS 18V-1050 H Professional (0 601 9J8 522),Аккумуляторный ударный гайковерт Bosch GDX 18V-200 C Professional (0 601 9G4 204),Аккумуляторный гайковерт Bosch GDS 18V-1050 H Professional (0 601 9J8 502),Гайковерт аккумуляторный 1/2' Bosch GDX 180-LI Professional (0 601 9G5 223),Гайковерт аккумуляторный DEWALT 12 В XR (DCF801D2-QW),Аккумуляторный ударный гайковерт Hikoki WR36DARGZ,Импульсный гайковерт Dewalt 12 В XR BRUSHLESS (DCF903P1-QW),Аккумуляторный ударный гайковерт Metabo PowerMaxx SSD 12 (601114500) ,Аккумуляторный ударный гайковерт Bosch GDX 18V-200 C Professional (0 601 9G4 201),Аккумуляторный ударный гайковерт Bosch GDS 18 V-LI HT Professional (0.601.9B1.300) ,Аккумуляторный ударный гайковерт Makita DTW251Z,Гайковерт аккумуляторный ударный Metabo PowerMaxx SSD 12 (601114890),Аккумуляторный гайковерт Makita DTW180RFE,Аккумуляторный ударный гайковерт Metabo SSW 18 LTX 400 BL (602205890),Ударный бесщеточный гайковерт PATRIOT BR 210Li 1/2 (180301560) ,Аккумуляторный ударный гайковерт Metabo SSW 18 LTX 300 BL (602395890),Аккумуляторный ударный гайковёрт Makita DTW285RFJX,Аккумуляторный ударный гайковерт DeWalt DCF894N-XJ ,Гайковерт аккумуляторный MILWAUKEE M18 FUEL ONEFHIWF1-802X ONE-KEY 1 (4933459733),Аккумуляторный ударный гайковерт Makita DTW181Z,Аккумуляторный гайковерт Makita DTW1001RTJ,Аккумуляторный ударный гайковерт DeWalt DCF901P1-QW,Ударный гайковерт Makita LXT без аккумулятора и ЗУ DTD156Z,Аккумуляторный ударный гайковерт Makita TD090DWE,Аккумуляторный ударный гайковерт Bosch GDR 12V-105 Professional Solo (0 601 9A6 901),Аккумуляторный ударный гайковерт Metabo SSW 18 LTX 400 BL Cordless Impact Wrench (602205650),Гайковерт аккумуляторный 3/4' Bosch GDS 18V-1050 H Professional (0 601 9J8 500),Аккумуляторный ударный гайковерт Makita DTD153Z,Аккумуляторный гайковерт Makita DTD171Z,Аккумуляторный ударный гайковерт Metabo SSW 18 LTX 400 BL (602205500),Ударный аккумуляторный гайковерт PATRIOT BR 180Li-1/2 (180301140) ,Гайковерт ударный  аккумуляторный Patriot BR 360UES 1/2 (180301561),Импульсный гайковерт DEWALT 18.0 В XR DCF894P2-QW,Аккумуляторный ударный гайковерт Bosch GDR 120-LI Professional (0 601 9F0 000),Аккумуляторный гайковерт Milwaukee M18 FMTIWF12-502X FUEL (4933459185),Гайковерт аккумуляторный DEWALT 18В XR 3/4'' (DCF897N-XJ),Гайковерт ударный Makita XGT BL TW001GM201,Аккумуляторный ударный гайковерт Metabo SSW 18 LTX 600 (602198500),Винтоверт PATRIOT BR 180Li 1/4 (180301585) ,Аккумуляторный гайковерт Makita DTW1002Z,"Аккумуляторный ударный гайковерт 1/2"" Makita DTW250RME",Аккумуляторный ударный гайковерт Makita DTW190Z ,Аккумуляторный ударный гайковерт  Makita TD090DZ,Аккумуляторный гайковерт Makita DTW285Z ,Аккумуляторный гайковерт Makita DTW1001Z ,Аккумуляторный ударный гайковерт Makita DTW300Z,Аккумуляторный ударный гайковерт Metabo SSW 18 LTX 600 (602198890) ,Аккумуляторный ударный гайковерт  Makita DTD129SHE,Аккумуляторный ударный гайковерт Makita DTW190RME,Аккумуляторный гайковерт Makita DTW450Z ,Аккумуляторный ударный гайковерт DeWalt DCF880M2-QW,Аккумуляторный гайковерт Makita TW161DWAE,Аккумуляторный ударный гайковерт  Makita TW100 DZ,Ударный пневмогайковерт PATRIOT PN 312 (830902040) ,Пневматический гайковерт Fubag IW 720 (100192),"Ударный пневмогайковерт FUBAG IWC 1700 1"" (100260)",Угловой пневмогайковерт с трещеткой Metabo DRS 95 (601553000),"Ударный пневмогайковерт FUBAG IW720  1/2""  (100192)",Гайковерт пневматический Sumake ST 5544SH + набор головок (8094970),Пневматический гайковерт Fubag PW 312 (100109),Пневматический гайковерт Metabo DSSW 360 Set (604118500),Пневматический гайковерт Metabo DRS 68 SET (604119500),Ударный пневмогайковерт FUBAG IW580 + набор головок (100191),Пневматический гайковёрт Garage GR-IW 315 с набором головок (УТ-00000047),Пневматический гайковерт Garage GR-IW- 687,Ударный пневмогайковерт PATRIOT PN 610 (830902042) ,"Ударный гайковёрт Remeza R-1200 1/2"" (УТ-00000401)",Ударный пневмогайковерт Fubag IW580 (100190),Ударный пневмогайковерт Sumake ST 55444,Пневмогайковерт FUBAG PWS158/312 (100102) ,"Гайковерт пневматический Fubag IW 900 1/2"" с набором головок (100195)",Гайковерт пневматический Sumake ST-55885Р (38591),"Ударный пневмогайковерт FUBAG IWM 2500 1"" (100275)",Ударный пневмогайковерт Fubag IWC 900 (100194),Ударный пневмогайковерт Fubag IWC 1600 (100198),Пневматический ударный гайковерт с комплектом головок (23 предмета) KING TONY (44118MP08),Пневматический гайковерт Sumake ST 5540 К,Пневматический гайковерт Sumake ST 5540,Гайковерт пневматический 1/2 Garage GR-IW- 315 ,"Ударный пневмогайковерт FUBAG IWM 3/4"" (100235)",Гайковерт пневматический Patriot PN1000 (830902044),Ударный пневматический гайковерт Kawasaki KPT-1460,Пневматический гайковерт Fubag IWC 1300  (100215),Пневматический ударный гайковерт Sumake ST-M1001 (8094990) ,Пневматический ударный гайковерт Fubag IW191/680 (100110),Пневматический гайковерт Metabo DSSW 1690 (601550000),Набор пневмоинструмента из 34 предметов FUBAG NP-103 (120103) ,Пневматический гайковерт ABAC (5181318),Гайковёрт пневматический SUMAKE ST-C541 (8094580) ,Пневмогайковёрт Remeza R-1400 (УТ-00000402),Пневматический ударный гайковерт KING TONY (33831-180),Пневматический гайковерт Metabo DSSW 930-1/2 (601549000),Пневматический гайковёрт Garage GR-IW-615 ,Гайковерт пневматический ИП-3115,"Ударный пневмогайковерт FUBAG IWM 1900 1"" (100265) ",Пневматический гайковерт Sumake ST 5553 (30384),Ударный пневмогайковерт Sumake ST C554 (8094960),Пневматический гайковерт Metabo DSSW 2440-1 (601551000),Пневматический гайковерт Sumake ST 5554 (30385),Гайковерт пневматический прямой Fubag SL180 (100106),Угловой пневмогайковерт Fubag RWC 105 (100320),Гайковерт пневматический AV Steel AV-766000,Пневматический гайковерт Sumake ST 55884Р (38591),Пневмогайковерт SUMAKE ST 55881 (38592) ,Пневматический гайковерт Sumake ST 55881-8,"Ударный пневмогайковерт FUBAG IWM 1700 3/4"" (100245) ",Гайковерт пневматический MIGHTY SEVEN KING TONY (PNC-8343-8),Угловой пневмогайковерт Fubag RW61 (100107),"Ударный пневмогайковерт FUBAG IWC 2900 1"" (100280)",Пневматический гайковерт Sumake ST 5561 (39960),Ударный пневмогайковерт ABAC (5333760),"Гайковерт ударный пневматический ЗУБР ПГ-1800 3/4"" (64230)",Ударный гайковерт DeWalt DW292-QS,Ударный гайковерт Makita TW0350 ,Электрический гайковерт (ударный) Metabo SSW 650 602204000,Винтоверт ударный Elitech ВУ 250РЭ,Ударный гайковерт Makita TD0101,Сетевой ударный гайковерт Hikoki WR16SENSZ,Ударный гайковерт Makita TW0200,Электрический гайковерт BOSCH GDS 18E Professional (0 601 444 000),Сетевой гайковерт PATRIOT FS 900 1/2 (120301430) ,Ударный электрический гайковерт Makita 6906,Ударный гайковерт Makita TD0101F,Электрический ударный гайковерт Зубр ЗГУЭ-350,Импульсный гайковерт Bosch GDS 24 Professional (0 601 434 108),Импульсный гайковерт Bosch GDS 30 Professional (0 601 435 108),Ударный гайковерт Makita TW1000 в кейсе,Электрический ударный гайковерт DeWalt DW294-QS,Ударный гайковерт Makita 6905 B
Аккумуляторный ударный гайковерт BOSCH GDX 18V-200 C Professional (0 615 990 M46),28,100.0,46.43,42.86,28.57,50.0,35.71,35.71,42.86,67.86,42.86,50.0,35.71,32.14,32.14,39.29,64.29,50.0,46.43,39.29,42.86,53.57,39.29,50.0,53.57,46.43,35.71,53.57,39.29,46.43,42.86,32.14,35.71,50.0,46.43,46.43,42.86,53.57,39.29,39.29,46.43,32.14,46.43,39.29,42.86,50.0,32.14,50.0,46.43,50.0,35.71,53.57,42.86,46.43,53.57,42.86,46.43,46.43,53.57,50.0,32.14,14.29,14.29,10.71,21.43,14.29,14.29,14.29,14.29,21.43,10.71,14.29,17.86,14.29,17.86,17.86,17.86,10.71,10.71,14.29,10.71,14.29,10.71,14.29,14.29,17.86,17.86,10.71,14.29,10.71,14.29,10.71,14.29,10.71,10.71,17.86,21.43,14.29,14.29,17.86,17.86,10.71,10.71,21.43,17.86,10.71,17.86,10.71,17.86,7.14,14.29,14.29,14.29,10.71,10.71,14.29,3.57,14.29,10.71,10.71,17.86,17.86,21.43,10.71,14.29,21.43,21.43,21.43,10.71,10.71,17.86,14.29,14.29,14.29,10.71,10.71,17.86
Гайковерт аккумуляторный 1/2' DeWalt DCF899N-XJ,26,50.0,100.0,38.46,34.62,42.31,34.62,46.15,38.46,53.85,38.46,42.31,42.31,34.62,34.62,30.77,46.15,53.85,50.0,38.46,38.46,57.69,42.31,57.69,46.15,65.38,38.46,53.85,38.46,50.0,42.31,26.92,34.62,50.0,46.15,46.15,46.15,50.0,38.46,38.46,50.0,34.62,50.0,61.54,34.62,42.31,34.62,53.85,38.46,50.0,34.62,53.85,46.15,50.0,50.0,38.46,42.31,50.0,50.0,42.31,34.62,15.38,15.38,11.54,15.38,15.38,11.54,15.38,11.54,15.38,11.54,11.54,15.38,15.38,15.38,15.38,15.38,11.54,11.54,11.54,11.54,15.38,11.54,11.54,11.54,15.38,15.38,11.54,15.38,7.69,15.38,7.69,15.38,7.69,11.54,15.38,15.38,11.54,11.54,15.38,15.38,11.54,11.54,15.38,15.38,7.69,15.38,11.54,15.38,3.85,11.54,11.54,11.54,11.54,11.54,15.38,3.85,11.54,7.69,11.54,23.08,15.38,23.08,7.69,11.54,26.92,15.38,19.23,15.38,7.69,15.38,15.38,11.54,11.54,7.69,19.23,15.38
Гайковерт аккумуляторный 1/2' Bosch GDS 18V-400 Professional (0 601 9K0 020),25,48.0,40.0,100.0,36.0,52.0,40.0,36.0,68.0,48.0,60.0,52.0,44.0,36.0,36.0,48.0,60.0,44.0,40.0,40.0,48.0,52.0,40.0,44.0,56.0,40.0,44.0,44.0,52.0,48.0,40.0,36.0,32.0,60.0,44.0,40.0,44.0,56.0,40.0,40.0,56.0,28.0,52.0,40.0,44.0,48.0,36.0,44.0,44.0,40.0,28.0,48.0,40.0,48.0,40.0,52.0,48.0,40.0,44.0,48.0,28.0,12.0,12.0,8.0,16.0,12.0,16.0,12.0,20.0,16.0,16.0,20.0,16.0,12.0,16.0,12.0,16.0,16.0,16.0,12.0,8.0,12.0,8.0,20.0,20.0,16.0,16.0,8.0,12.0,8.0,12.0,12.0,12.0,12.0,8.0,16.0,16.0,12.0,12.0,16.0,16.0,8.0,8.0,16.0,16.0,12.0,16.0,8.0,12.0,4.0,12.0,12.0,12.0,8.0,8.0,12.0,0.0,12.0,16.0,8.0,12.0,20.0,20.0,8.0,12.0,16.0,20.0,16.0,12.0,16.0,12.0,8.0,12.0,12.0,16.0,8.0,20.0
Аккумуляторный ударный гайковерт DeWalt DCF815D2-QW,29,27.59,31.03,31.03,100.0,37.93,41.38,37.93,34.48,27.59,34.48,41.38,44.83,34.48,34.48,51.72,34.48,31.03,31.03,41.38,34.48,27.59,34.48,31.03,34.48,31.03,34.48,27.59,34.48,37.93,31.03,41.38,34.48,34.48,27.59,27.59,27.59,37.93,34.48,37.93,37.93,41.38,34.48,31.03,34.48,41.38,44.83,27.59,37.93,31.03,34.48,27.59,27.59,27.59,34.48,41.38,37.93,31.03,44.83,41.38,27.59,6.9,6.9,6.9,6.9,6.9,6.9,6.9,10.34,6.9,10.34,10.34,6.9,6.9,6.9,6.9,6.9,10.34,10.34,6.9,6.9,6.9,6.9,10.34,10.34,6.9,6.9,6.9,6.9,3.45,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,0.0,6.9,6.9,6.9,6.9,6.9,6.9,0.0,6.9,10.34,6.9,17.24,13.79,13.79,17.24,17.24,10.34,13.79,13.79,10.34,13.79,20.69,6.9,13.79,13.79,13.79,17.24,13.79
Аккумуляторный гайковерт Bosch GDS 250-LI Professional (0 601 9G6 120),27,51.85,40.74,48.15,40.74,100.0,40.74,33.33,48.15,48.15,48.15,62.96,48.15,37.04,29.63,51.85,59.26,51.85,48.15,40.74,55.56,48.15,44.44,44.44,59.26,40.74,40.74,44.44,44.44,44.44,40.74,44.44,37.04,62.96,40.74,37.04,37.04,55.56,55.56,55.56,59.26,37.04,55.56,33.33,44.44,59.26,55.56,44.44,55.56,48.15,40.74,44.44,37.04,44.44,51.85,44.44,55.56,48.15,55.56,55.56,33.33,11.11,11.11,7.41,14.81,11.11,14.81,14.81,22.22,14.81,14.81,18.52,14.81,11.11,14.81,11.11,14.81,14.81,14.81,11.11,7.41,11.11,7.41,18.52,18.52,14.81,14.81,7.41,11.11,7.41,14.81,11.11,11.11,11.11,7.41,14.81,14.81,11.11,11.11,14.81,14.81,7.41,7.41,14.81,14.81,11.11,18.52,7.41,11.11,3.7,11.11,11.11,11.11,7.41,7.41,11.11,0.0,11.11,14.81,7.41,18.52,25.93,22.22,11.11,14.81,14.81,25.93,25.93,18.52,22.22,18.52,14.81,14.81,14.81,18.52,14.81,25.93
Аккумуляторный ударный гайковерт Stanley SBI201D2K,25,40.0,36.0,40.0,48.0,44.0,100.0,48.0,44.0,36.0,44.0,48.0,48.0,44.0,32.0,56.0,48.0,32.0,32.0,40.0,48.0,36.0,56.0,36.0,48.0,40.0,44.0,36.0,44.0,40.0,32.0,40.0,40.0,44.0,36.0,36.0,36.0,48.0,52.0,52.0,48.0,32.0,48.0,36.0,44.0,44.0,52.0,36.0,40.0,32.0,36.0,36.0,36.0,36.0,36.0,56.0,44.0,32.0,44.0,48.0,24.0,8.0,8.0,8.0,4.0,8.0,4.0,8.0,8.0,4.0,12.0,8.0,4.0,8.0,4.0,8.0,4.0,12.0,12.0,4.0,8.0,8.0,8.0,8.0,8.0,4.0,4.0,8.0,8.0,4.0,8.0,4.0,8.0,4.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,4.0,4.0,4.0,4.0,8.0,8.0,0.0,4.0,4.0,4.0,8.0,4.0,8.0,4.0,4.0,8.0,4.0,4.0,8.0,4.0,12.0,12.0,8.0,8.0,4.0,12.0,8.0,16.0,4.0,4.0,4.0,8.0,4.0,12.0
Аккумуляторный импульсный шуруповерт 18.0 В XR DEWALT DCF887N-XJ ,23,43.48,52.17,39.13,47.83,39.13,52.17,100.0,43.48,47.83,43.48,39.13,43.48,39.13,43.48,47.83,43.48,43.48,43.48,52.17,43.48,47.83,34.78,47.83,43.48,52.17,43.48,52.17,43.48,47.83,43.48,39.13,52.17,43.48,47.83,52.17,56.52,43.48,39.13,34.78,47.83,43.48,43.48,52.17,39.13,39.13,47.83,47.83,34.78,47.83,43.48,47.83,47.83,47.83,43.48,52.17,39.13,43.48,43.48,39.13,34.78,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,4.35,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,0.0,8.7,8.7,8.7,8.7,8.7,13.04,0.0,8.7,8.7,8.7,13.04,8.7,8.7,13.04,17.39,17.39,8.7,8.7,4.35,8.7,21.74,4.35,8.7,8.7,8.7,13.04,8.7
Аккумуляторный гайковерт Bosch GDS 18V-1050 H Professional (0 601 9J8 522),29,41.38,34.48,58.62,34.48,44.83,37.93,34.48,100.0,41.38,82.76,44.83,41.38,41.38,34.48,41.38,51.72,37.93,34.48,34.48,44.83,41.38,34.48,37.93,44.83,34.48,44.83,37.93,62.07,41.38,34.48,34.48,31.03,51.72,65.52,37.93,41.38,44.83,34.48,34.48,48.28,27.59,44.83,37.93,48.28,41.38,34.48,37.93,37.93,34.48,27.59,37.93,48.28,37.93,34.48,44.83,41.38,34.48,37.93,41.38,27.59,6.9,6.9,6.9,10.34,6.9,10.34,6.9,13.79,10.34,10.34,13.79,10.34,6.9,13.79,6.9,10.34,10.34,10.34,10.34,6.9,6.9,10.34,13.79,13.79,10.34,10.34,10.34,6.9,10.34,6.9,13.79,6.9,13.79,6.9,10.34,10.34,13.79,10.34,10.34,10.34,6.9,6.9,10.34,10.34,10.34,10.34,6.9,6.9,3.45,10.34,10.34,10.34,10.34,6.9,6.9,0.0,13.79,17.24,10.34,6.9,17.24,10.34,6.9,10.34,10.34,13.79,10.34,6.9,20.69,13.79,3.45,20.69,10.34,13.79,13.79,13.79
Аккумуляторный ударный гайковерт Bosch GDX 18V-200 C Professional (0 601 9G4 204),27,70.37,51.85,44.44,29.63,48.15,33.33,40.74,44.44,100.0,44.44,48.15,33.33,29.63,29.63,37.04,74.07,55.56,51.85,44.44,40.74,59.26,37.04,59.26,48.15,51.85,37.04,59.26,40.74,40.74,48.15,29.63,40.74,51.85,51.85,51.85,48.15,48.15,37.04,37.04,44.44,37.04,44.44,44.44,37.04,44.44,29.63,62.96,40.74,55.56,37.04,55.56,48.15,59.26,51.85,40.74,44.44,51.85,40.74,51.85,37.04,14.81,14.81,11.11,22.22,14.81,14.81,14.81,14.81,22.22,11.11,14.81,18.52,14.81,18.52,14.81,18.52,11.11,11.11,14.81,11.11,14.81,11.11,14.81,14.81,18.52,18.52,11.11,14.81,11.11,14.81,11.11,14.81,11.11,11.11,18.52,22.22,14.81,14.81,18.52,18.52,11.11,11.11,22.22,18.52,11.11,18.52,11.11,18.52,7.41,14.81,14.81,14.81,11.11,11.11,14.81,3.7,14.81,11.11,11.11,18.52,18.52,22.22,11.11,14.81,22.22,22.22,22.22,11.11,11.11,18.52,14.81,14.81,14.81,11.11,11.11,18.52
Аккумуляторный гайковерт Bosch GDS 18V-1050 H Professional (0 601 9J8 502),29,41.38,34.48,51.72,34.48,44.83,37.93,34.48,82.76,41.38,100.0,44.83,41.38,41.38,31.03,41.38,48.28,37.93,34.48,34.48,44.83,41.38,34.48,37.93,44.83,34.48,48.28,37.93,55.17,37.93,34.48,34.48,31.03,51.72,68.97,37.93,37.93,44.83,34.48,34.48,41.38,27.59,41.38,37.93,48.28,41.38,34.48,37.93,37.93,34.48,27.59,37.93,44.83,37.93,34.48,44.83,44.83,34.48,37.93,41.38,27.59,6.9,6.9,6.9,10.34,6.9,10.34,6.9,13.79,10.34,10.34,13.79,10.34,6.9,13.79,6.9,10.34,10.34,10.34,10.34,6.9,6.9,10.34,13.79,13.79,10.34,10.34,13.79,6.9,10.34,6.9,13.79,6.9,13.79,6.9,10.34,10.34,13.79,10.34,10.34,10.34,6.9,6.9,10.34,10.34,10.34,10.34,6.9,6.9,3.45,10.34,10.34,10.34,10.34,6.9,6.9,0.0,13.79,17.24,10.34,6.9,13.79,10.34,6.9,10.34,10.34,13.79,10.34,6.9,20.69,13.79,3.45,20.69,10.34,13.79,13.79,13.79
