"DESCRIPTION","NAME","OFFERID","PICTURE","PRICE","URL"
"СистемаGator SpeedLoadпредназначена для быстрой замены диска в триммере. Замена очень проста и включает в себя всего три","Леска для триммера Oregon Gator SpeedLoad (Ø2,4 мм; 7 м)","37764832","https://www.enkor24.ru/u/images/products/53/538b19a77f73dd1095aca4e123bc449842e38e85.jpg","135","https://www.enkor24.ru/product/77441-leska-dlya-trimmera-oregon-gator-speedload-2-4-mm-7-m"
"Леска Nylium STARLINE Oregon 110986E применяется при работе триммерами. Является режущим элементом и заправляется в трим","Леска Nylium STARLINE (3.0 мм; 15 м) Oregon (110986E)","37764833","https://www.enkor24.ru/u/images/products/3d/3d93716a545e76474341fe39495ceb5c79418b0d.jpg","535","https://www.enkor24.ru/product/90742-leska-nylium-starline-3-0-mm-15-m-oregon-110986e"
"Триммерный корд профессионального класса с изогнутым профилем, создающим аэродинамическую форму для уменьшения шума и ви","Корд триммерный Husqvarna Whisper Twist 3мм 210м (5976691-42)","37764834","https://www.enkor24.ru/u/images/products/cd/cddd36748520c8be397607d4de8e9225562ff96e.png","6800","https://www.enkor24.ru/product/102210-kord-trimmernyj-husqvarna-whisper-twist-3mm-210m-5976691-42"
"Универсальная триммерная леска с пятиугольным профилем. Обеспечивает хорошую производительность резки и износостойкость ","Корд триммерный 3.0ммх56м CoreCut Husqvarna (5976692-31)","37764835","https://www.enkor24.ru/u/images/products/7e/7e9ef02b7a6a5d8faa715afe75dda34671a88b64.png","1910","https://www.enkor24.ru/product/102327-kord-trimmernyj-3-0mmx56m-corecut-husqvarna-5976692-31"
"Универсальная триммерная леска с круглым профилем. Обеспечивает хорошую производительность резки и износостойкость в шир","Леска для триммера ф3,3ммX 75м, Opti круг Husqvarna (5976688-50)","37764836","https://www.enkor24.ru/u/images/products/5f/5fa7cf66fe56a86bc8e553fa858e514c87e72202.jpg","1910","https://www.enkor24.ru/product/102335-leska-dlya-trimmera-f3-3mmx-75m-opti-krug-husqvarna-5976688-50"
"Триммерная леска серии Yellow Line хорошо подходит для самых разных условий работы и может использоваться на всех станда","Леска для триммера ф2,0 15м Yellow Line Starline Oregon (69-446-Y)","37764837","https://www.enkor24.ru/u/images/products/e3/e355abce97e389c6842c4fc01167eba9e40a6622.jpg","231","https://www.enkor24.ru/product/102497-leska-dlya-trimmera-f2-0-15m-yellow-line-starline-oregon-69-446-y"
"None","Леска для триммера ф3,0 224м NYLIUM SILENCIO LINE Oregon (800019)","37764838","https://www.enkor24.ru/u/images/products/84/84253ba227c361258d87ce3113e191393fb8619f.jpg","4300","https://www.enkor24.ru/product/102504-leska-dlya-trimmera-f3-0-224m-nylium-silencio-line-oregon-800019"
"Триммерная леска серии Yellow Line хорошо подходит для самых разных условий работы и может использоваться на всех станда","Леска Oregon Yellow Line Roundline Желтая 2,0мм 15 м (69-356-Y)","37764839","https://www.enkor24.ru/u/images/products/14/14395958825a559332c8b1949229a7e1d9b6878f.jpg","231","https://www.enkor24.ru/product/102507-leska-oregon-yellow-line-roundline-zheltaya-2-0mm-15-m-69-356-y"
"Профессиональный корд триммерный Husqvarna с пятиугольным профилем. Острые края обеспечивают отличные результаты резки, ","Леска для триммера ф 3,3 мм 75 м Husqvarna (5908474-07)","37764840","https://www.enkor24.ru/u/images/products/2a/2a1b8eceea5af03f8e29754a762ddaa5c263f024.jpg","1846","https://www.enkor24.ru/product/103046-leska-dlya-trimmera-f-3-3-mm-75-m-husqvarna-5908474-07"
"Леска Starline PATRIOT 805201061 применяется при работе триммерами. Является режущим элементом и заправляется в триммерн","Леска Starline (2.4 мм; 15 м; звезда) PATRIOT (805201061)","37764841","https://www.enkor24.ru/u/images/products/8c/8c79fe851df24cfba94d1e7ce43c3774fd369165.jpg","163","https://www.enkor24.ru/product/103149-leska-starline-2-4-mm-15-m-zvezda-patriot-805201061"
