name,"Аккумулятор Энкор А-18/1,5Л (50396)","Аккумулятор Энкор AccuMaster АК1811-1,5Li (49011)","Аккумулятор Энкор AccuMaster АК1821-1,5Ni","Аккумулятор Энкор А-14,4/1,5Л (50395)","Аккумулятор Энкор AccuMaster АК1816-4,0Li (49016)","Аккумулятор Энкор А-12/1,5Л (50394)","Аккумулятор 10,8 В 4,0 Ач  Li-Power",Аккумулятор (18 В; 5.0 А*ч; Li-Ion) DeWALT DCB184-XJ,Аккумулятор R03 NI-MN 1000мА.ч BP-2 2шт (153782),Аккумулятор КОСМОС R03 NI-MN 900мА.ч BP-2 2шт (127198),Аккумулятор КОСМОС R6 NI-MN 2800мА.ч BP-2 2шт (153783),"Аккумулятор 18 В 4,0 Ач  Li-Ion Bosch (0 602 494 004)","Аккумулятор Greenworks G24B2, 24V, 2 А.ч (2926707)",Аккумулятор BR 21VMax Pro UES (21 В; 2 А*ч; Li-ion) PATRIOT (180301120) ,Аккумулятор (82 В; 5 А*ч) G82B5 Greenworks (2914607) ,Аккумулятор КОСМОС R6 NI-MN 2500мА.ч BP-2 2шт (127202),Аккумулятор G40B4 (40V; 4 А.ч) GreenWorks (2927007),Аккумуляторная батарея HUTER 12В 7Ач (64/1/54),Аккумулятор (2 А*ч; 24 В) G24B2 Greenworks (2902707) ,"Аккумулятор компактный 36 В, 2.6 А.ч, Li-Ion Husqvarna BLi100 (9670918-01)",Аккумулятор (4 А*ч; 60 В) G60B4 Greenworks (2918407) ,"Аккумулятор Greenworks G24В4, 4 Ач (2926807)",Аккумулятор (2 А*ч; 60 В) G60B2 Greenworks (2918307),Акк. батарея  AР 115,Аккумулятор КОСМОС R6 NI-MN 1900мА.ч BP-2 2шт (127201),"Аккумулятор G40В2, 2 Ач Greenworks (2926907)","Аккумулятор LI-Power Extreme (18 В; 5,2 А*ч) Metabo (625592000)"
https://www.enkor24.ru/product/89698-akkumulyatornyj-trimmer-greenworks-g40lt30-2101507ua,43.75,43.75,25.0,43.75,56.25,43.75,56.25,56.25,18.75,18.75,18.75,50.0,62.5,56.25,50.0,18.75,100.0,25.0,62.5,50.0,56.25,62.5,56.25,56.25,18.75,100.0,50.0
https://www.enkor24.ru/product/104584-akkumulyatornyj-trimmer-greenworks-gs82bck5-2101707ub,43.75,43.75,25.0,43.75,56.25,43.75,56.25,56.25,18.75,18.75,18.75,50.0,62.5,56.25,93.75,18.75,62.5,25.0,62.5,50.0,62.5,62.5,62.5,56.25,18.75,62.5,50.0
https://www.enkor24.ru/product/90240-akkumulyatornyj-trimmer-greenworks-gd82bc-82v-2101707,43.75,43.75,25.0,43.75,56.25,43.75,56.25,56.25,18.75,18.75,18.75,50.0,62.5,56.25,93.75,18.75,62.5,25.0,62.5,50.0,62.5,62.5,62.5,56.25,18.75,62.5,50.0
https://www.enkor24.ru/product/88020-trimmer-akkumulyatornyj-stihl-fsa-45,62.5,62.5,62.5,25.0,75.0,25.0,37.5,75.0,18.75,18.75,18.75,31.25,31.25,31.25,25.0,18.75,31.25,25.0,31.25,31.25,31.25,31.25,31.25,37.5,18.75,31.25,68.75
https://www.enkor24.ru/product/96296-akkumulyatornyj-trimmer-greenworks-gd40bc-1301507,43.75,43.75,25.0,43.75,56.25,43.75,56.25,56.25,18.75,18.75,18.75,50.0,62.5,56.25,50.0,18.75,100.0,25.0,62.5,50.0,56.25,62.5,56.25,56.25,18.75,100.0,50.0
https://www.enkor24.ru/product/89714-akkumulyatornyj-trimmer-greenworks-gd60ltk2-2103207ua,43.75,43.75,25.0,43.75,56.25,43.75,56.25,56.25,18.75,18.75,18.75,50.0,62.5,56.25,50.0,18.75,62.5,25.0,62.5,50.0,100.0,62.5,100.0,56.25,18.75,62.5,50.0
https://www.enkor24.ru/product/108544-akkumulyatornyj-trimmer-greenworks-24v-2107107,43.75,43.75,25.0,43.75,56.25,43.75,56.25,56.25,18.75,18.75,18.75,50.0,100.0,56.25,50.0,18.75,56.25,25.0,100.0,50.0,56.25,100.0,56.25,50.0,18.75,56.25,50.0
https://www.enkor24.ru/product/114542-akkumulyatornyj-trimmer-huter-get-36-3li-70-1-11,43.75,43.75,25.0,43.75,56.25,43.75,56.25,56.25,18.75,18.75,18.75,50.0,56.25,56.25,43.75,18.75,50.0,31.25,56.25,50.0,50.0,56.25,50.0,93.75,18.75,50.0,50.0
https://www.enkor24.ru/product/84232-akkumulyatornyj-trimmer-husqvarna-115il-9670988-01,43.75,43.75,25.0,43.75,56.25,43.75,56.25,56.25,18.75,18.75,18.75,50.0,56.25,56.25,43.75,18.75,50.0,25.0,56.25,56.25,50.0,56.25,50.0,93.75,18.75,50.0,50.0
https://www.enkor24.ru/product/99300-trimmer-kromkorez-akkumulyatornyj-oregon-st275-gsl-610027,43.75,43.75,25.0,43.75,56.25,43.75,56.25,56.25,18.75,18.75,18.75,50.0,56.25,56.25,43.75,18.75,50.0,25.0,56.25,50.0,50.0,56.25,50.0,93.75,18.75,50.0,50.0
https://www.enkor24.ru/product/77375-akkumulyatornyj-trimmer-stihl-fsa-56-s-al-101-ak-10-4522-011-5718,43.75,43.75,25.0,43.75,56.25,43.75,56.25,56.25,18.75,18.75,18.75,50.0,56.25,56.25,43.75,18.75,50.0,25.0,56.25,50.0,50.0,56.25,50.0,100.0,18.75,50.0,50.0
https://www.enkor24.ru/product/103436-trimmer-akkumulyatornyj-makita-dur181rf,81.25,81.25,62.5,43.75,93.75,43.75,56.25,93.75,18.75,18.75,18.75,50.0,50.0,50.0,43.75,18.75,50.0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,18.75,50.0,87.5
https://www.enkor24.ru/product/108564-trimmer-akkumulyatornyj-greenworks-g40lt30-21107,43.75,43.75,25.0,43.75,56.25,43.75,56.25,56.25,18.75,18.75,18.75,50.0,62.5,56.25,50.0,18.75,100.0,25.0,62.5,50.0,56.25,62.5,56.25,56.25,18.75,100.0,50.0
https://www.enkor24.ru/product/109009-trimmer-akkumulyatornyj-makita-dur190uzx3,81.25,81.25,62.5,43.75,93.75,43.75,56.25,93.75,18.75,18.75,18.75,50.0,50.0,50.0,43.75,18.75,50.0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,18.75,50.0,87.5
https://www.enkor24.ru/product/91191-akkumulyatornyj-trimmer-stihl-fsa-90-4863-200-0053,43.75,43.75,25.0,43.75,56.25,43.75,56.25,56.25,18.75,18.75,18.75,50.0,56.25,56.25,43.75,18.75,50.0,25.0,56.25,50.0,50.0,56.25,50.0,100.0,18.75,50.0,50.0
https://www.enkor24.ru/product/109239-trimmer-akkumulyatornyj-patriot-tr-235-li-21v-ues-250205235,43.75,43.75,25.0,43.75,56.25,43.75,56.25,56.25,18.75,18.75,18.75,50.0,50.0,100.0,43.75,18.75,50.0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,18.75,50.0,50.0
