name,count,Аккумуляторный перфоратор Bosch GBH 18 V-LI Compact Solo (0 611 905 300),Перфоратор аккумуляторный PATRIOT RH 210Li UES (110303210),Перфоратор Энкор ПЭ-1600/50Э кейс (50134),Перфоратор SDSmax Энкор ПЭ-1600/40Э (50133) ,Перфоратор Энкор ПЭ-850/28ЭР (50118),Перфоратор Энкор ПЭ-870/26ЭР (50113),Перфоратор Энкор ПЭ-1050/30ЭР (50119),Перфоратор Энкор ПЭ-800/26ЭР (50117),Перфоратор SDS+  Энкор ПЭ-650/24Э (50111),Перфоратор Энкор ПЭ-780/24ЭР (50116),Перфоратор SDS+ Энкор  ПЭ-790/26Э (50112),Перфоратор Makita HR4003C,Перфоратор Bosch GBH 12-52 D Professional (0 611 266 100),Перфоратор Hikoki DH52MENSZ,Перфоратор Hikoki DH40MEYNSZ,Перфоратор SDSmax Hikoki  DH45MENSZ,Перфоратор Makita HR5202C ,Перфоратор Bosch GBH 12-52 DV Professional (0 611 266 000),Перфоратор SDS max PATRIOT RH 400 (140301350),Перфоратор BOSCH GBH 3-28 DRE Professional (0 611 23A 000),Перфоратор SDS+ DeWalt D25133B-KS + сумка,Перфоратор PATRIOT RH 160 (140301160) ,Перфоратор SDS+ Hikoki DH 28 PCY2,Перфоратор Metabo KHE 2644 (606157510),Перфоратор DeWalt D25144K-KS,Перфоратор BOSCH GBH 2-28 F Professional (0 611 267 600),Перфоратор Metabo UHEV 2860-2 Quick + патрон (600713500),Перфоратор SDS+ Bosch GBH 220 3 режима professional (0 611 2A6 020),Перфоратор Stanley + патрон SHR264K-RU,Перфоратор Makita HR2470,Перфоратор Makita HR3210C,Перфоратор PATRIOT RH 265Q (140301330) ,Перфоратор PATRIOT RH 360 (140301368) ,Перфоратор SDS+ VMX VRH-24/650E (VM510154),Перфоратор BOSCH GBH 2-28 Professional (0 611 267 500),Перфоратор Stanley STHR202K-RU,Перфоратор DeWalt D25134K-KS,Перфоратор BOSCH GBH 4-32 DFR Professional (0 611 332 100),Перфоратор BOSCH GBH 4-32 DFR-S Professional (0 611 332 101),Перфоратор Makita HR3200C,Перфоратор Makita HR2810,Перфоратор Metabo KHE 3251(600659000),Перфоратор BOSCH GBH 240 Professional (0 611 272 100),Перфоратор Makita HR2800,Перфоратор PATRIOT RH260 (140301322) ,Перфоратор STANLEY  SHR263KА + набор буров (SHR263KA-RU),Перфоратор Stanley SHR263K-RU,Перфоратор SDS+ Makita HR2470X20 + набор буров ,Перфоратор BOSCH GBH 2-26 DRE Professional (0 611 253 708),Перфоратор Makita HR2475,Перфоратор Metabo KHE 2444 (606154510),Перфоратор DeWalt D25133K-KS,Перфоратор PATRIOT RH 280 (140301363) ,Перфоратор PATRIOT RH 262Q The One (140301335) ,Перфоратор Metabo KHE 2860 Quick,Перфоратор BOSCH GBH 2-26 DFR Professional (0 611 254 768),Перфоратор BOSCH GBH 3-28 DFR Professional (0 611 24A 000),Перфоратор PATRIOT RH 320 (140301366) ,Перфоратор SDS+ VMX VRH-26/790E (VM510159),Перфоратор BOSCH GBH 240 F Professional (0 611 273 000),Перфоратор Makita HR2630 X7 + набор буров,Перфоратор Stanley STHR323K-RU,Перфоратор Metabo KHE 2860 Quick (600878510),Перфоратор Metabo KHE 3250 (600637000),Перфоратор SDS+ Elitech П 1132ЭМ,Перфоратор SDS+ Makita HR2630   ,Аккумуляторный перфоратор Metabo KHA 18 LTX (600210890),Аккумуляторный перфоратор DeWalt DCH273P2-QW,Аккумуляторный перфоратор Metabo PowerMaxx BH 12 BL 16 (600207850),Аккумуляторный перфоратор Makita DHR263Z,Аккумуляторный перфоратор Metabo KHA 18 LTX + 3.5 Ач LiHD + ЗУ ASC 55 (T0332),Аккумуляторный перфоратор Metabo KHA 18 LTX (600210650),Аккумуляторный перфоратор Bosch GBH 180-LI + GBA 18 В 4.0 Ач + GAL 18V-40 (0 615 990 L6J),Аккумуляторный перфоратор Makita DHR202RF LXT,Перфоратор SDS+ аккумуляторный DeWalt DCH273N-XJ,Аккумуляторный бесщеточный перфоратор Bosch GBH 180-LI  Professional с 2 АКБ и ЗУ (0 611 911 121),Аккумуляторный перфоратор Greenworks G24HD 3802507 ,"Аккумуляторный бесщеточный перфоратор Stanley SBR20-RU, 18В","Аккумуляторный перфоратор Bosch SDS+ GBH 180-LI, 1 акк.  (0 611 911 122)",Перфоратор SDS+ аккумуляторный Metabo KHA 18 LTX BL 24 Quick (600211890),Аккумуляторный перфоратор Metabo BH 18 LTX BL 16 (600324500),Аккумуляторный перфоратор Metabo BH 18 LTX BL 16 (600324850),Аккумуляторный перфоратор Metabo PowerMaxx BH 12 BL 16 (600207500),Перфоратор SDS+ аккумуляторный DeWalt DCH263N-XJ,Аккумуляторный бесщеточный перфоратор Bosch GBH 180-LI professional без ЗУ и АКБ (0 611 911 120),Перфоратор Metabo KHE 5-40 (600763500),Перфоратор SDSmax Metabo KHE 5-40 (600391500),Перфоратор SDSmax Hikoki DH45MEYNSZ,Перфоратор METABO KHEV 8-45 BL (600766500),Перфоратор Makita HR4501C,Перфоратор Makita HR4510C,Перфоратор Metabo KHEV 5-40 BL (600765500),Перфоратор BOSCH GBH 8-45 DV Professional (0 611 265 000),Перфоратор SDSmax Hikoki DH40MCNSZ,Перфоратор METABO KHEV 11-52 BL (600767500),Перфоратор BOSCH GBH 5-40 DCЕ Professional (0 611 264 000),Перфоратор Makita HR3540C,Перфоратор BOSCH GBH 8-45 DV Professional (0 611 265 100),Перфоратор Makita HR2470FT,Перфоратор SDS+ Hikoki DH26PC2,Перфоратор Макита SDS+ HR2470X19 + патрон,Перфоратор BOSCH GBH 2-20 D Professional (0 611 25A 400),Перфоратор Makita HR2641 ,Перфоратор Makita HR2470X15,Перфоратор Stanley STHR272KS-RU,Перфоратор Metabo KHE 2660 Quick + БЗП патрон (600663500),Перфоратор SDS+ Hikoki DH28PEC DH28PECNSZ,Перфоратор PATRIOT RH 350 (140301367) ,Перфоратор PATRIOT RH262 The One (140301325) ,Перфоратор Metabo KHE 2660 Quick (600663510),Перфоратор DeWalt D25143K-KS,Перфоратор PATRIOT RH 300 (140301365) ,Перфоратор PATRIOT RH 240 (140301300) ,Перфоратор PATRIOT RH232 (140301321) ,Перфоратор SDS+ Hikoki DH24PH2 (DH24PH2NSZ),Перфоратор BOSCH GBH 2-28 F Professional + набор оснастки (0 611 267 608),Перфоратор SDS+ Makita HR2653,Перфоратор SDS+ Hikoki DH28PCYNSZ,Перфоратор SDS+ DeWalt D25143KB-KS,Аккумуляторный перфоратор BOSCH GBH 36 V-LI Compact (0 611 903 R02),Аккумуляторный перфоратор Makita DHR202 RFE,Аккумуляторный перфоратор BOSCH GBH 14.4 V-LI Compact Professional L-BOXX (0 611 905 308),Аккумуляторный перфоратор Makita DHR165RME ,Аккумуляторный перфоратор Makita DHR242RFE,Аккумуляторный перфоратор Bosch GBH 18V-26 Solo (0 611 909 000),Аккумуляторный перфоратор Makita DHR241RFE ,Аккумуляторный перфоратор BOSCH GBH 18V-26 Professional (0 611 909 003),Аккумуляторный перфоратор BOSCH GBH 18V-34 CF Professional (0 611 914 021),Перфоратор Makita HR2432 + пылеотсос,Перфоратор Makita HR4013C,Перфоратор Makita HR3541FC,Перфоратор Makita HR4511C,Перфоратор BOSCH GBH 5-40 D Professional (0 611 269 020),Перфоратор Makita HR5212C,Перфоратор BOSCH GBH 8-45 DV Professional + набор (0 615 990 J8M),Перфоратор Makita HR2460,Аккумуляторный перфоратор Makita DHR202Z,Перфоратор Makita HR3210FСT ,Перфоратор Makita HR1830,Перфоратор DeWalt (D25413K-QS),Перфоратор Metabo UHE 2450 Multi (600696000) ,Перфоратор SDS+ Bosch GBH 2-26 DRE + набор (0 615 990 L43),Перфоратор SDS+ Bosch GBH 2-28 + набор (0 615 990 L42),Перфоратор Makita HR2811F ,Перфоратор Makita HR2631FT,Перфоратор Makita HR2811FT,Перфоратор Bosch PBH 2100 RE (0 603 3A9 320),Перфоратор Makita HR2600,Аккумуляторный перфоратор Энкор AccuMaster АКМ1815,Аккумуляторный перфоратор Энкор AccuMaster АКМ1816 (49216),Аккумуляторный перфоратор BOSCH GBH 36 VF-LI Plus Professional (0 611 907 002),Бесщеточный перфоратор DEWALT DCH133N-XJ,Аккумуляторный перфоратор BOSCH UNEO + набор (0 603 952 021),Аккумуляторный перфоратор DeWalt DCH333NT,Аккумуляторный перфоратор BOSCH GBH 180-LI Compact Professional (0 611 911 023),Аккумуляторный перфоратор BOSCH GBH 36 V-LI Plus Professional (0 611 906 002),Перфоратор BOSCH GBH 2-23 REA Professional (0 611 250 500),Перфоратор DEWALT SDS-max (D25481K-QS),Перфоратор DeWalt D25133KW-KS + часы в подарок,Перфоратор SDS+ Hikoki DH 24 PH (DH24PHNSZ),Перфоратор Bosch PBH 2500 RE (0 603 344 421),"Перфоратор Bosch GBH 2-26 DFR Professional + набор (0 611 254 768"")",Аккумуляторный перфоратор Makita DHR264Z
Аккумуляторный перфоратор Bosch GBH 18 V-LI Compact Solo (0 611 905 300),94,100.0,30.85,14.89,14.89,24.47,14.89,14.89,24.47,30.85,24.47,26.6,18.09,25.53,18.09,10.64,12.77,18.09,25.53,20.21,18.09,30.85,32.98,30.85,31.91,10.64,18.09,18.09,28.72,30.85,20.21,22.34,30.85,22.34,12.77,29.79,28.72,13.83,18.09,15.96,15.96,27.66,12.77,29.79,29.79,26.6,19.15,17.02,34.04,31.91,15.96,31.91,20.21,26.6,20.21,10.64,27.66,15.96,22.34,8.51,29.79,13.83,20.21,27.66,14.89,24.47,34.04,32.98,20.21,51.06,44.68,40.43,28.72,44.68,38.3,31.91,46.81,25.53,39.36,23.4,42.55,48.94,51.06,48.94,29.79,48.94,27.66,24.47,10.64,27.66,18.09,18.09,27.66,25.53,22.34,23.4,20.21,15.96,25.53,31.91,32.98,15.96,24.47,20.21,22.34,26.6,14.89,26.6,22.34,29.79,27.66,15.96,2.13,30.85,21.28,23.4,18.09,25.53,28.72,28.72,20.21,40.43,54.26,34.04,38.3,42.55,36.17,9.57,42.55,13.83,18.09,15.96,18.09,20.21,20.21,25.53,31.91,34.04,20.21,34.04,18.09,15.96,15.96,15.96,20.21,23.4,29.79,17.02,34.04,36.17,29.79,20.21,37.23,22.34,20.21,22.34,22.34,15.96,20.21,22.34,28.72,23.4,22.34,42.55
Перфоратор аккумуляторный PATRIOT RH 210Li UES (110303210),73,39.73,100.0,21.92,24.66,42.47,30.14,36.99,42.47,41.1,42.47,49.32,19.18,26.03,31.51,21.92,24.66,21.92,31.51,31.51,36.99,43.84,38.36,39.73,41.1,39.73,45.21,46.58,43.84,46.58,31.51,39.73,41.1,42.47,19.18,43.84,38.36,39.73,36.99,39.73,31.51,46.58,39.73,38.36,46.58,34.25,28.77,28.77,43.84,41.1,39.73,41.1,31.51,46.58,39.73,34.25,41.1,39.73,46.58,24.66,43.84,23.29,43.84,46.58,36.99,45.21,43.84,39.73,31.51,54.79,65.75,46.58,36.99,64.38,54.79,49.32,54.79,26.03,53.42,34.25,71.23,54.79,57.53,52.05,49.32,60.27,28.77,27.4,30.14,36.99,19.18,21.92,36.99,28.77,34.25,34.25,21.92,21.92,28.77,49.32,43.84,28.77,41.1,42.47,34.25,36.99,28.77,49.32,46.58,34.25,46.58,36.99,2.74,43.84,31.51,36.99,45.21,49.32,46.58,49.32,34.25,57.53,21.92,35.62,57.53,63.01,49.32,17.81,71.23,34.25,21.92,24.66,21.92,19.18,24.66,28.77,41.1,52.05,42.47,38.36,36.99,41.1,23.29,26.03,42.47,52.05,52.05,35.62,38.36,24.66,21.92,39.73,52.05,13.7,36.99,35.62,36.99,28.77,34.25,31.51,34.25,35.62,38.36,60.27
Перфоратор Энкор ПЭ-1600/50Э кейс (50134),88,15.91,18.18,100.0,60.23,32.95,25.0,25.0,32.95,19.32,32.95,26.14,48.86,43.18,43.18,44.32,46.59,40.91,43.18,44.32,31.82,18.18,18.18,22.73,22.73,27.27,27.27,25.0,20.45,19.32,22.73,34.09,19.32,31.82,13.64,25.0,26.14,27.27,31.82,29.55,31.82,29.55,29.55,20.45,31.82,23.86,21.59,17.05,18.18,22.73,29.55,22.73,25.0,23.86,22.73,20.45,20.45,29.55,35.23,18.18,20.45,13.64,30.68,27.27,31.82,27.27,20.45,13.64,15.91,20.45,29.55,11.36,15.91,22.73,22.73,22.73,18.18,17.05,17.05,6.82,22.73,22.73,20.45,22.73,20.45,18.18,44.32,52.27,42.05,36.36,43.18,50.0,42.05,43.18,44.32,36.36,43.18,40.91,38.64,20.45,20.45,18.18,22.73,25.0,20.45,32.95,15.91,22.73,35.23,20.45,27.27,29.55,0.0,19.32,26.14,15.91,27.27,25.0,18.18,25.0,22.73,27.27,15.91,18.18,27.27,22.73,22.73,0.0,25.0,25.0,51.14,43.18,47.73,46.59,43.18,43.18,25.0,20.45,34.09,25.0,34.09,25.0,15.91,18.18,31.82,27.27,29.55,23.86,25.0,19.32,17.05,20.45,13.64,19.32,20.45,20.45,22.73,27.27,48.86,18.18,15.91,19.32,20.45,22.73
Перфоратор SDSmax Энкор ПЭ-1600/40Э (50133) ,88,15.91,20.45,60.23,100.0,30.68,22.73,22.73,30.68,21.59,30.68,28.41,46.59,38.64,40.91,42.05,38.64,43.18,43.18,52.27,29.55,20.45,20.45,25.0,20.45,25.0,25.0,25.0,22.73,21.59,20.45,31.82,21.59,29.55,11.36,22.73,23.86,25.0,29.55,27.27,29.55,35.23,27.27,18.18,35.23,21.59,19.32,14.77,20.45,20.45,27.27,20.45,22.73,26.14,20.45,18.18,18.18,27.27,32.95,15.91,18.18,11.36,28.41,25.0,29.55,29.55,22.73,15.91,13.64,22.73,31.82,13.64,13.64,25.0,25.0,25.0,20.45,17.05,19.32,4.55,25.0,25.0,22.73,25.0,22.73,20.45,46.59,46.59,38.64,38.64,40.91,43.18,44.32,40.91,46.59,38.64,40.91,38.64,48.86,18.18,22.73,15.91,20.45,27.27,18.18,30.68,13.64,25.0,32.95,18.18,25.0,27.27,0.0,21.59,28.41,18.18,25.0,32.95,20.45,27.27,20.45,25.0,15.91,15.91,25.0,25.0,20.45,0.0,27.27,22.73,48.86,40.91,43.18,44.32,40.91,40.91,22.73,22.73,31.82,22.73,29.55,22.73,13.64,15.91,31.82,25.0,35.23,21.59,28.41,17.05,17.05,18.18,15.91,19.32,18.18,18.18,20.45,25.0,51.14,20.45,18.18,21.59,18.18,25.0
Перфоратор Энкор ПЭ-850/28ЭР (50118),84,27.38,36.9,34.52,32.14,100.0,48.81,46.43,70.24,45.24,66.67,58.33,28.57,34.52,36.9,28.57,30.95,26.19,34.52,38.1,46.43,44.05,44.05,60.71,46.43,46.43,48.81,50.0,40.48,42.86,35.71,51.19,50.0,52.38,26.19,54.76,45.24,40.48,40.48,38.1,41.67,52.38,38.1,44.05,52.38,47.62,42.86,34.52,44.05,46.43,42.86,46.43,38.1,50.0,51.19,39.29,41.67,44.05,50.0,33.33,46.43,23.81,47.62,57.14,40.48,42.86,46.43,26.19,19.05,34.52,41.67,29.76,30.95,36.9,44.05,38.1,39.29,15.48,40.48,16.67,41.67,36.9,34.52,36.9,38.1,34.52,32.14,30.95,30.95,36.9,28.57,30.95,36.9,36.9,36.9,34.52,30.95,36.9,32.14,44.05,46.43,28.57,45.24,40.48,38.1,53.57,34.52,54.76,50.0,54.76,57.14,48.81,2.38,45.24,34.52,35.71,48.81,48.81,53.57,57.14,30.95,48.81,16.67,27.38,46.43,41.67,44.05,4.76,41.67,38.1,30.95,39.29,30.95,28.57,33.33,36.9,46.43,44.05,44.05,46.43,40.48,35.71,26.19,34.52,44.05,51.19,52.38,36.9,44.05,25.0,22.62,32.14,34.52,20.24,26.19,21.43,34.52,35.71,36.9,30.95,41.67,27.38,39.29,36.9
Перфоратор Энкор ПЭ-870/26ЭР (50113),72,19.44,30.56,30.56,27.78,56.94,100.0,65.28,61.11,38.89,47.22,61.11,33.33,33.33,30.56,27.78,30.56,30.56,27.78,27.78,41.67,43.06,36.11,38.89,51.39,48.61,48.61,47.22,41.67,43.06,41.67,41.67,48.61,48.61,33.33,48.61,41.67,48.61,41.67,38.89,41.67,47.22,38.89,47.22,44.44,51.39,55.56,43.06,38.89,51.39,44.44,44.44,45.83,44.44,54.17,45.83,48.61,38.89,41.67,48.61,41.67,31.94,50.0,56.94,41.67,41.67,48.61,27.78,19.44,22.22,40.28,22.22,27.78,30.56,38.89,36.11,27.78,13.89,27.78,13.89,30.56,25.0,22.22,25.0,45.83,27.78,30.56,30.56,30.56,27.78,33.33,30.56,27.78,30.56,30.56,27.78,30.56,36.11,30.56,38.89,48.61,33.33,44.44,48.61,41.67,51.39,34.72,48.61,41.67,61.11,56.94,51.39,2.78,38.89,36.11,33.33,48.61,48.61,33.33,48.61,30.56,44.44,19.44,22.22,44.44,40.28,38.89,12.5,33.33,44.44,30.56,33.33,30.56,33.33,33.33,30.56,41.67,36.11,36.11,41.67,44.44,44.44,34.72,34.72,38.89,51.39,38.89,44.44,48.61,25.0,22.22,31.94,40.28,25.0,25.0,19.44,34.72,41.67,30.56,40.28,36.11,27.78,45.83,34.72
Перфоратор Энкор ПЭ-1050/30ЭР (50119),82,17.07,32.93,26.83,24.39,47.56,57.32,100.0,47.56,46.34,41.46,53.66,31.71,29.27,26.83,24.39,26.83,26.83,24.39,30.49,48.78,43.9,43.9,34.15,53.66,48.78,48.78,45.12,46.34,43.9,42.68,42.68,48.78,42.68,31.71,48.78,42.68,48.78,42.68,40.24,42.68,47.56,40.24,48.78,45.12,39.02,54.88,46.34,40.24,51.22,45.12,53.66,46.34,57.32,41.46,37.8,48.78,46.34,42.68,34.15,48.78,28.05,53.66,50.0,42.68,48.78,42.68,30.49,23.17,25.61,35.37,25.61,30.49,39.02,40.24,31.71,36.59,24.39,24.39,24.39,32.93,28.05,25.61,28.05,34.15,36.59,26.83,26.83,26.83,24.39,29.27,26.83,24.39,26.83,26.83,24.39,26.83,31.71,26.83,40.24,42.68,35.37,51.22,42.68,42.68,39.02,30.49,42.68,42.68,45.12,52.44,51.22,2.44,46.34,31.71,35.37,48.78,42.68,35.37,48.78,39.02,45.12,17.07,25.61,42.68,41.46,40.24,17.07,35.37,45.12,26.83,29.27,26.83,29.27,29.27,26.83,42.68,37.8,37.8,42.68,42.68,42.68,36.59,36.59,40.24,45.12,40.24,51.22,42.68,21.95,19.51,34.15,41.46,21.95,46.34,29.27,36.59,48.78,32.93,41.46,31.71,36.59,46.34,30.49
Перфоратор Энкор ПЭ-800/26ЭР (50117),84,27.38,36.9,34.52,32.14,70.24,52.38,46.43,100.0,45.24,66.67,64.29,28.57,34.52,36.9,28.57,30.95,26.19,34.52,38.1,52.38,58.33,44.05,48.81,58.33,40.48,42.86,44.05,42.86,54.76,35.71,45.24,64.29,54.76,26.19,48.81,45.24,52.38,40.48,38.1,35.71,52.38,50.0,44.05,52.38,59.52,54.76,46.43,46.43,58.33,42.86,54.76,50.0,50.0,63.1,33.33,53.57,50.0,50.0,36.9,46.43,29.76,47.62,51.19,52.38,42.86,58.33,26.19,19.05,34.52,50.0,32.14,30.95,36.9,44.05,38.1,36.9,15.48,40.48,14.29,41.67,36.9,34.52,36.9,44.05,34.52,32.14,30.95,30.95,36.9,28.57,30.95,36.9,36.9,36.9,34.52,30.95,30.95,32.14,44.05,52.38,28.57,45.24,52.38,38.1,55.95,34.52,48.81,50.0,60.71,57.14,42.86,2.38,45.24,34.52,35.71,42.86,60.71,41.67,51.19,30.95,48.81,16.67,27.38,46.43,47.62,44.05,10.71,41.67,38.1,30.95,33.33,30.95,28.57,33.33,36.9,44.05,44.05,38.1,46.43,40.48,35.71,38.1,28.57,44.05,63.1,52.38,36.9,55.95,25.0,22.62,26.19,40.48,22.62,26.19,21.43,28.57,35.71,36.9,42.86,41.67,27.38,51.19,47.62
Перфоратор SDS+  Энкор ПЭ-650/24Э (50111),94,30.85,31.91,18.09,20.21,40.43,29.79,40.43,40.43,100.0,51.06,58.51,17.02,22.34,20.21,12.77,14.89,19.15,22.34,25.53,34.04,54.26,58.51,45.74,52.13,39.36,36.17,38.3,54.26,57.45,42.55,32.98,63.83,30.85,45.74,50.0,47.87,34.04,28.72,26.6,28.72,40.43,26.6,57.45,38.3,44.68,50.0,43.62,65.96,54.26,41.49,57.45,40.43,59.57,35.11,28.72,50.0,31.91,39.36,21.28,57.45,24.47,41.49,42.55,28.72,42.55,53.19,40.43,13.83,42.55,36.17,43.62,36.17,43.62,44.68,35.11,47.87,26.6,38.3,25.53,41.49,42.55,38.3,44.68,31.91,43.62,26.6,21.28,19.15,26.6,17.02,14.89,26.6,20.21,24.47,22.34,14.89,19.15,24.47,50.0,53.19,36.17,52.13,39.36,44.68,36.17,30.85,48.94,39.36,41.49,42.55,36.17,2.13,74.47,37.23,48.94,36.17,42.55,44.68,52.13,29.79,42.55,12.77,27.66,45.74,45.74,38.3,14.89,36.17,36.17,14.89,17.02,14.89,17.02,17.02,20.21,50.0,40.43,26.6,46.81,28.72,34.04,31.91,31.91,26.6,38.3,36.17,45.74,46.81,22.34,22.34,25.53,52.13,18.09,23.4,23.4,27.66,39.36,26.6,42.55,46.81,47.87,47.87,38.3
Перфоратор Энкор ПЭ-780/24ЭР (50116),84,27.38,36.9,34.52,32.14,66.67,40.48,40.48,66.67,57.14,100.0,52.38,28.57,34.52,36.9,28.57,30.95,26.19,34.52,38.1,40.48,44.05,44.05,54.76,46.43,46.43,42.86,44.05,48.81,42.86,41.67,45.24,52.38,46.43,32.14,48.81,45.24,46.43,40.48,38.1,35.71,46.43,38.1,50.0,46.43,47.62,39.29,34.52,55.95,46.43,54.76,52.38,38.1,50.0,51.19,33.33,41.67,38.1,50.0,30.95,52.38,23.81,47.62,51.19,40.48,42.86,46.43,32.14,19.05,34.52,41.67,35.71,36.9,36.9,44.05,44.05,36.9,15.48,40.48,14.29,47.62,36.9,34.52,36.9,44.05,34.52,32.14,30.95,30.95,36.9,28.57,30.95,36.9,36.9,36.9,34.52,30.95,30.95,32.14,50.0,46.43,34.52,45.24,40.48,44.05,47.62,28.57,48.81,50.0,48.81,57.14,42.86,2.38,57.14,34.52,41.67,42.86,48.81,41.67,51.19,30.95,48.81,16.67,27.38,52.38,41.67,44.05,4.76,41.67,44.05,30.95,33.33,30.95,28.57,33.33,36.9,52.38,44.05,38.1,46.43,40.48,41.67,26.19,28.57,38.1,51.19,46.43,36.9,44.05,25.0,22.62,26.19,34.52,22.62,26.19,21.43,28.57,35.71,36.9,30.95,47.62,27.38,39.29,39.29
