name,price,url,specifications
Дрель-миксер Энкор ДМЭ-1200/16ЭР (50099),6 200,https://www.enkor24.ru/product/82937-drel-mikser-enkor-dme-1200-16er-50099,"{'Номинальная потребляемая мощность': '1200\xa0Вт', 'Максимальный диаметр сверления в стали': '16\xa0мм', 'Максимальный диаметр сверления в древесине': '30\xa0мм', 'Назначение': 'проф.', 'Гарантийный срок': '2\xa0года', 'Длина': '410\xa0мм', 'Длина электрокабеля': '2\xa0м', 'Дополнительная рукоятка': 'да', 'Защитная муфта расцепления': 'нет', 'Максимальная частота вращения шпинделя на холостом ходу': '1050\xa0об/мин', 'Максимальный диаметр хвостовика': '16\xa0мм', 'Масса брутто': '3.7\xa0кг', 'Масса нетто': '3.5\xa0кг', 'Минимальный диаметр хвостовика': '3\xa0мм', 'Номинальная частота вращения': '1050\xa0об/мин', 'Номинальная частота тока': '50\xa0Гц', 'Номинальное напряжение питания': '220\xa0В', 'Плавный пуск': 'нет', 'Посадка патрона': '1/2"" - 20 unf', 'Реверс': 'да', 'Регулировка частоты вращения': 'да', 'Род тока': 'переменный', 'Тип и стандарт патрона': 'звп', 'Упаковка': 'картон', 'Частота вращения шпинделя на холостом ходу': '1050\xa0об/мин'}"
Дрель безударная Энкор ДЭ-380ЭР/10 (50067),2 270,https://www.enkor24.ru/product/4356-drel-bezudarnaya-enkor-de-380er-10-50067,"{'Номинальная потребляемая мощность': '380\xa0Вт', 'Число скоростей': '1', 'Дополнительная рукоятка': 'нет', 'Максимальный диаметр сверления в древесине': '20\xa0мм', 'Максимальный диаметр сверления в стали': '10\xa0мм', 'Назначение': 'быт.', 'Тип и стандарт патрона': 'бзп', 'Минимальный диаметр хвостовика': '0.8\xa0мм', 'Максимальный диаметр хвостовика': '10\xa0мм', 'Масса нетто': '1.2\xa0кг', 'Реверс': 'да', 'Регулировка частоты вращения': 'да', 'Упаковка': 'картон', 'Вид регулировки': 'нажатием курка, регулировочным колесиком', 'Гарантийный срок': '2\xa0года', 'Длина электрокабеля': '2\xa0м', 'Масса брутто': '1.4\xa0кг', 'Минимальная частота вращения': '0\xa0об/мин', 'Номинальная частота вращения': '1800\xa0об/мин', 'Номинальная частота вращения на 1-й скорости': '1800\xa0об/мин', 'Номинальная частота вращения на 2-й скорости': '450\xa0об/мин', 'Номинальная частота тока': '50\xa0Гц', 'Номинальное напряжение питания': '220\xa0В', 'Подсветка рабочей зоны': 'нет', 'Посадка патрона': '3/8"" - 24 unf', 'Род тока': 'переменный', 'Тип электродвигателя': 'коллекторный', 'Частота вращения шпинделя на холостом ходу': '3000\xa0об/мин'}"
Дрель-миксер Вихрь Д-1000М (72/8/8),5 890,https://www.enkor24.ru/product/113921-drel-mikser-vixr-d-1000m-72-8-8,"{'Номинальная потребляемая мощность': '1000\xa0Вт', 'Высота упаковки': '235\xa0мм', 'Гарантийный срок': '1\xa0год', 'Длина упаковки': '330\xa0мм', 'Длина электрокабеля': '2\xa0м', 'Дополнительная рукоятка': 'да', 'Защитная муфта расцепления': 'нет', 'Максимальная частота вращения шпинделя на холостом ходу': '850\xa0об/мин', 'Максимальный крутящий момент': '130\xa0Н⋅м', 'Масса брутто': '4.6\xa0кг', 'Масса нетто': '3.3\xa0кг', 'Номинальная частота тока': '50\xa0Гц', 'Номинальное напряжение питания': '220\xa0В', 'Реверс': 'да', 'Регулировка частоты вращения': 'да', 'Род тока': 'переменный', 'Тип и стандарт патрона': 'звп', 'Упаковка': 'картон', 'Частота вращения шпинделя на холостом ходу': '850\xa0об/мин', 'Ширина упаковки': '440\xa0мм'}"
Дрель-миксер Фиолент МД1-11Э (ИДФР298179001-К7),7 600,https://www.enkor24.ru/product/115400-drel-mikser-fiolent-md1-11e-idfr298179001-k7,"{'Номинальная потребляемая мощность': '1130\xa0Вт', 'Максимальный диаметр сверления в стали': '16\xa0мм', 'Максимальный диаметр сверления в древесине': '40\xa0мм', 'Высота упаковки': '350\xa0мм', 'Гарантийный срок': '4\xa0года', 'Длина': '308\xa0мм', 'Длина упаковки': '280\xa0мм', 'Длина электрокабеля': '2.4\xa0м', 'Дополнительная рукоятка': 'в комплекте', 'Максимальная частота вращения шпинделя на холостом ходу': '600\xa0об/мин', 'Максимальный крутящий момент': '115\xa0Н⋅м', 'Масса брутто': '5.1\xa0кг', 'Масса нетто': '4.7\xa0кг', 'Номинальная частота тока': '50\xa0Гц', 'Номинальное напряжение питания': '220\xa0В', 'Плавный пуск': 'нет', 'Посадка патрона': 'м14', 'Реверс': 'нет', 'Регулировка частоты вращения': 'да', 'Род тока': 'переменный', 'Тип и стандарт патрона': 'м14', 'Упаковка': 'картон', 'Частота вращения шпинделя на холостом ходу': '600\xa0об/мин', 'Ширина упаковки': '275\xa0мм'}"
Дрель-миксер Фиолент МД2-7-РЭ (ИДФР298179002-К2),7 650,https://www.enkor24.ru/product/115401-drel-mikser-fiolent-md2-7-re-idfr298179002-k2,"{'Номинальная потребляемая мощность': '701\xa0Вт', 'Максимальный диаметр сверления в стали': '13\xa0мм', 'Максимальный диаметр сверления в древесине': '25\xa0мм', 'Высота упаковки': '330\xa0мм', 'Гарантийный срок': '4\xa0года', 'Длина': '306\xa0мм', 'Длина упаковки': '543\xa0мм', 'Длина электрокабеля': '2.4\xa0м', 'Дополнительная рукоятка': 'в комплекте', 'Максимальная частота вращения шпинделя на холостом ходу': '1000\xa0об/мин', 'Максимальный диаметр хвостовика': '13\xa0мм', 'Максимальный крутящий момент': '50\xa0Н⋅м', 'Масса брутто': '5\xa0кг', 'Масса нетто': '1.6\xa0кг', 'Минимальный диаметр хвостовика': '1.5\xa0мм', 'Номинальная частота тока': '50\xa0Гц', 'Номинальное напряжение питания': '220\xa0В', 'Плавный пуск': 'нет', 'Посадка патрона': '1/2"" - 20 unf', 'Реверс': 'да', 'Регулировка частоты вращения': 'да', 'Род тока': 'переменный', 'Тип и стандарт патрона': 'звп', 'Упаковка': 'кейс', 'Частота вращения шпинделя на холостом ходу': '1000\xa0об/мин', 'Ширина упаковки': '101\xa0мм'}"
Электрическая дрель-миксер PATRIOT DM 100 (120301100) ,5 290,https://www.enkor24.ru/product/97759-elektricheskaya-drel-mikser-patriot-dm-100-120301100,"{'Номинальная потребляемая мощность': '1050\xa0Вт', 'Высота упаковки': '211\xa0мм', 'Гарантийный срок': '2\xa0года', 'Длина': '350\xa0мм', 'Длина упаковки': '363\xa0мм', 'Длина электрокабеля': '2\xa0м', 'Дополнительная рукоятка': 'нет', 'Защитная муфта расцепления': 'нет', 'Максимальная частота вращения шпинделя на холостом ходу': '650\xa0об/мин', 'Максимальный крутящий момент': '92\xa0Н⋅м', 'Масса брутто': '5.2\xa0кг', 'Масса нетто': '4\xa0кг', 'Номинальная частота тока': '50\xa0Гц', 'Номинальное напряжение питания': '220\xa0В', 'Плавный пуск': 'нет', 'Посадка патрона': 'м14', 'Реверс': 'нет', 'Регулировка частоты вращения': 'да', 'Род тока': 'переменный', 'Тип и стандарт патрона': 'м14', 'Упаковка': 'картон', 'Частота вращения шпинделя на холостом ходу': '650\xa0об/мин', 'Ширина упаковки': '319\xa0мм'}"
Дрель безударная Makita 6408,11 100,https://www.enkor24.ru/product/4338-drel-bezudarnaya-makita-6408,"{'Номинальная потребляемая мощность': '530\xa0Вт', 'Число скоростей': '1', 'Дополнительная рукоятка': 'нет', 'Максимальный диаметр сверления в древесине': '25\xa0мм', 'Максимальный диаметр сверления в стали': '10\xa0мм', 'Назначение': 'проф.', 'Тип и стандарт патрона': 'бзп', 'Минимальный диаметр хвостовика': '1\xa0мм', 'Максимальный диаметр хвостовика': '10\xa0мм', 'Масса нетто': '1.4\xa0кг', 'Реверс': 'да', 'Регулировка частоты вращения': 'да', 'Упаковка': 'картон', 'Вид регулировки': 'плавная, нажатием курка', 'Высота упаковки': '237\xa0мм', 'Гарантийный срок': '1\xa0год', 'Длина': '261\xa0мм', 'Длина упаковки': '543\xa0мм', 'Длина электрокабеля': '2.5\xa0м', 'Масса брутто': '1.7\xa0кг', 'Минимальная частота вращения': '0\xa0об/мин', 'Номинальная частота вращения на 1-й скорости': '2500\xa0об/мин', 'Номинальная частота тока': '50\xa0Гц', 'Номинальное напряжение питания': '220\xa0В', 'Подсветка рабочей зоны': 'нет', 'Посадка патрона': '3/8"" - 24 unf', 'Род тока': 'переменный', 'Тип электродвигателя': 'коллекторный', 'Частота вращения шпинделя на холостом ходу': '2500\xa0об/мин', 'Ширина упаковки': '91\xa0мм'}"
Дрель безударная Bosch GBM 13-2 RE Professional (0 601 1B2 000) ,26 750,https://www.enkor24.ru/product/68538-drel-bezudarnaya-bosch-gbm-13-2-re-professional-0-601-1b2-000,"{'Номинальная потребляемая мощность': '750\xa0Вт', 'Максимальный крутящий момент': '39.5\xa0Н⋅м', 'Число скоростей': '2', 'Дополнительная рукоятка': 'да', 'Максимальный диаметр сверления в древесине': '32\xa0мм', 'Максимальный диаметр сверления в стали': '10\xa0мм', 'Назначение': 'проф.', 'Тип и стандарт патрона': 'бзп', 'Минимальный диаметр хвостовика': '1.5\xa0мм', 'Максимальный диаметр хвостовика': '13\xa0мм', 'Масса нетто': '2.4\xa0кг', 'Реверс': 'да', 'Регулировка частоты вращения': 'да', 'Упаковка': 'картон', 'Вид регулировки': 'плавная, нажатием курка', 'Высота': '220\xa0мм', 'Высота упаковки': '279\xa0мм', 'Гарантийный срок': '1\xa0год', 'Длина': '320\xa0мм', 'Длина упаковки': '366\xa0мм', 'Длина электрокабеля': '4\xa0м', 'Дополнительная гарантия': '2 года (при регистрации на сайте)', 'Масса брутто': '3.1\xa0кг', 'Минимальная частота вращения': '0\xa0об/мин', 'Номинальная частота вращения на 1-й скорости': '1000\xa0об/мин', 'Номинальная частота вращения на 2-й скорости': '3000\xa0об/мин', 'Номинальная частота тока': '50\xa0Гц', 'Номинальное напряжение питания': '220\xa0В', 'Подсветка рабочей зоны': 'нет', 'Посадка патрона': '1/2"" - 20 unf', 'Род тока': 'переменный', 'Тип электродвигателя': 'коллекторный', 'Частота вращения шпинделя на холостом ходу': '3000\xa0об/мин', 'Ширина упаковки': '87\xa0мм'}"
Дрель безударная DeWalt DWD112S-KS,"8 398,8",https://www.enkor24.ru/product/58226-drel-bezudarnaya-dewalt-dwd112s-ks,"{'Номинальная потребляемая мощность': '701\xa0Вт', 'Максимальный крутящий момент': '10.9\xa0Н⋅м', 'Число скоростей': '1', 'Дополнительная рукоятка': 'нет', 'Максимальный диаметр сверления в древесине': '25\xa0мм', 'Максимальный диаметр сверления в стали': '10\xa0мм', 'Назначение': 'проф.', 'Тип и стандарт патрона': 'бзп', 'Минимальный диаметр хвостовика': '1\xa0мм', 'Максимальный диаметр хвостовика': '10\xa0мм', 'Масса нетто': '1.8\xa0кг', 'Реверс': 'да', 'Регулировка частоты вращения': 'да', 'Упаковка': 'картон', 'Вид регулировки': 'плавная, нажатием курка', 'Высота': '190\xa0мм', 'Высота упаковки': '66\xa0мм', 'Гарантийный срок': '3\xa0года', 'Длина': '230\xa0мм', 'Длина упаковки': '273\xa0мм', 'Дополнительная гарантия': 'до 3 лет (при регистрации на сайте)', 'Масса брутто': '2.2\xa0кг', 'Минимальная частота вращения': '0\xa0об/мин', 'Номинальная частота тока': '50\xa0Гц', 'Номинальное напряжение питания': '220\xa0В', 'Подсветка рабочей зоны': 'нет', 'Посадка патрона': '1/2"" - 20 unf', 'Род тока': 'переменный', 'Тип электродвигателя': 'коллекторный', 'Частота вращения шпинделя на холостом ходу': '2500\xa0об/мин', 'Ширина упаковки': '237\xa0мм'}"
Дрель безударная BOSCH GBM 6 RE Professional (0 601 472 600),5 550,https://www.enkor24.ru/product/70028-drel-bezudarnaya-bosch-gbm-6-re-professional-0-601-472-600,"{'Номинальная потребляемая мощность': '350\xa0Вт', 'Максимальный крутящий момент': '12.3\xa0Н⋅м', 'Число скоростей': '1', 'Дополнительная рукоятка': 'нет', 'Максимальный диаметр сверления в древесине': '15\xa0мм', 'Максимальный диаметр сверления в стали': '6\xa0мм', 'Назначение': 'проф.', 'Тип и стандарт патрона': 'бзп', 'Минимальный диаметр хвостовика': '1.5\xa0мм', 'Максимальный диаметр хвостовика': '10\xa0мм', 'Масса нетто': '1.2\xa0кг', 'Реверс': 'да', 'Регулировка частоты вращения': 'да', 'Упаковка': 'картон', 'Вид регулировки': 'плавная, нажатием курка', 'Высота': '182\xa0мм', 'Высота упаковки': '66\xa0мм', 'Гарантийный срок': '1\xa0год', 'Длина': '228\xa0мм', 'Длина упаковки': '231\xa0мм', 'Дополнительная гарантия': '2 года (при регистрации на сайте)', 'Масса брутто': '1.4\xa0кг', 'Минимальная частота вращения': '0\xa0об/мин', 'Номинальная частота тока': '50\xa0Гц', 'Номинальное напряжение питания': '220\xa0В', 'Подсветка рабочей зоны': 'нет', 'Посадка патрона': '3/8"" - 24 unf', 'Род тока': 'переменнный', 'Тип электродвигателя': 'коллекторный', 'Частота вращения шпинделя на холостом ходу': '4000\xa0об/мин', 'Ширина упаковки': '225\xa0мм'}"
