name,price,url,specifications
Аккумуляторный перфоратор Bosch GBH 18 V-LI Compact Solo (0 611 905 300),26 750,https://www.enkor24.ru/product/99847-akkumulyatornyj-perforator-bosch-gbh-18-v-li-compact-solo-0-611-905-300,"{'Число режимов': '2', 'Сила удара': '1\xa0Дж', 'Вес': 'Тяжелый', 'Исполнение перфоратора': 'угловая компоновка', 'Регулировка частоты вращения': 'да', 'Реверс': 'да', 'Высота': '202\xa0мм', 'Длина': '278\xa0мм', 'Масса брутто': '1.9\xa0кг', 'Материал применения основной': 'бетон;кирпич', 'Номинальная частота тока': '50\xa0Гц', 'Быстросменный патрон': 'нет', 'Вид регулировки': 'плавная, нажатием курка', 'Возможность подключения пылеотсоса': 'нет', 'Гарантийный срок': '1\xa0год', 'Дополнительная гарантия': '2 года (при регистрации на сайте)', 'Дополнительная рукоятка': 'нет', 'Индикатор  уровня заряда аккумулятора': 'да', 'Количество аккумуляторов в комплекте': '0', 'Максимальная частота вращения': '1050\xa0об/мин', 'Максимальное число ударов': '4950\xa0уд/мин', 'Максимальный диаметр сверления в бетоне': '12\xa0мм', 'Максимальный диаметр сверления в древесине': '16\xa0мм', 'Максимальный диаметр сверления в стали': '8\xa0мм', 'Максимальный оптимальный диаметр сверления в бетоне': '6\xa0мм', 'Минимальная частота вращения': '0\xa0об/мин', 'Минимальное число ударов': '0\xa0уд/мин', 'Назначение': 'сверление', 'Наличие встроенного пылеудаления': 'нет', 'Номинальное напряжение питания': '18\xa0В', 'Подсветка рабочей зоны': 'да', 'Тип аккумулятора': 'li-ion', 'Тип и стандарт патрона': 'sds+', 'Тип компоновки аккумулятора': 'съёмный, слайдер', 'Тип электродвигателя': 'коллекторный', 'Упаковка': 'картон', 'Частота вращения шпинделя на холостом ходу': '1050\xa0об/мин', 'Число скоростей': '1'}"
Перфоратор аккумуляторный PATRIOT RH 210Li UES (110303210),10 990,https://www.enkor24.ru/product/99559-perforator-akkumulyatornyj-patriot-rh-210li-ues-110303210,"{'Число режимов': '3', 'Сила удара': '1.7\xa0Дж', 'Вес': 'Легкий', 'Защитная муфта расцепления': 'да', 'Наличие виброзащиты': 'да', 'Регулировка частоты вращения': 'да', 'Реверс': 'да', 'Материал применения основной': 'бетон; камень; кирпич', 'Номинальная частота тока': '50\xa0Гц', 'Быстросменный патрон': 'да', 'Вид регулировки': 'плавная, нажатием курка', 'Дополнительная рукоятка': 'в комплекте', 'Количество аккумуляторов в комплекте': '0', 'Максимальная частота вращения': '1400\xa0об/мин', 'Максимальное число ударов': '4500\xa0уд/мин', 'Максимальный диаметр сверления в бетоне': '22\xa0мм', 'Максимальный диаметр сверления в древесине': '28\xa0мм', 'Максимальный диаметр сверления в стали': '13\xa0мм', 'Минимальная частота вращения': '0\xa0об/мин', 'Наличие встроенного пылеудаления': 'нет', 'Номинальное напряжение питания': '18\xa0В', 'Подсветка рабочей зоны': 'да', 'Тип аккумулятора': 'li-ion', 'Тип и стандарт патрона': 'sds+', 'Тип компоновки аккумулятора': 'съёмный, слайдер', 'Тип электродвигателя': 'вентильный (бесщеточный)', 'Частота вращения шпинделя на холостом ходу': '1400\xa0об/мин', 'Число скоростей': '1'}"
Перфоратор Энкор ПЭ-1600/50Э кейс (50134),26 000,https://www.enkor24.ru/product/67159-perforator-enkor-pe-1600-50e-kejs-50134,"{'Номинальная потребляемая мощность': '1600\xa0Вт', 'Число режимов': '2', 'Тип и стандарт патрона': 'sds-max', 'Сила удара': '25\xa0Дж', 'Исполнение перфоратора': 'угловая компоновка', 'Защитная муфта расцепления': 'да', 'Наличие виброзащиты': 'да', 'Регулировка частоты вращения': 'да', 'Реверс': 'нет', 'Вес': 'Легкий', 'Высота упаковки': '390\xa0мм', 'Длина': '600\xa0мм', 'Длина упаковки': '660\xa0мм', 'Масса брутто': '17.8\xa0кг', 'Материал применения основной': 'бетон; камень; кирпич', 'Номинальная частота тока': '50\xa0Гц', 'Ширина упаковки': '180\xa0мм', 'Быстросменный патрон': 'нет', 'Вид регулировки': 'плавная, регулировочным колесом', 'Гарантийный срок': '2\xa0года', 'Длина электрокабеля': '2.5\xa0м', 'Дополнительная гарантия': 'нет', 'Дополнительная рукоятка': 'да', 'Максимальная частота вращения': '330\xa0об/мин', 'Максимальное число ударов': '2300\xa0уд/мин', 'Максимальный диаметр сверления в бетоне': '40\xa0мм', 'Максимальный диаметр сверления коронкой в бетоне': '100\xa0мм', 'Максимальный диаметр сверления коронкой в кирпиче': '100\xa0мм', 'Минимальная частота вращения': '120\xa0об/мин', 'Минимальное число ударов': '850\xa0уд/мин', 'Назначение': 'проф.', 'Наличие встроенного пылеудаления': 'нет', 'Номинальное напряжение питания': '220\xa0В', 'Тип электродвигателя': 'коллекторный', 'Упаковка': 'кейс'}"
Перфоратор SDSmax Энкор ПЭ-1600/40Э (50133) ,12 700,https://www.enkor24.ru/product/67158-perforator-sdsmax-enkor-pe-1600-40e-50133,"{'Номинальная потребляемая мощность': '1600\xa0Вт', 'Число режимов': '2', 'Тип и стандарт патрона': 'sds-max', 'Сила удара': '9\xa0Дж', 'Исполнение перфоратора': 'угловая компоновка', 'Защитная муфта расцепления': 'да', 'Наличие виброзащиты': 'да', 'Регулировка частоты вращения': 'да', 'Реверс': 'нет', 'Вес': 'Легкий', 'Высота упаковки': '395\xa0мм', 'Длина': '500\xa0мм', 'Длина упаковки': '510\xa0мм', 'Масса брутто': '10.6\xa0кг', 'Материал применения основной': 'бетон; камень; кирпич', 'Номинальная частота тока': '50\xa0Гц', 'Ширина упаковки': '157\xa0мм', 'Быстросменный патрон': 'нет', 'Вид регулировки': 'плавная, регулировочным колесом', 'Гарантийный срок': '2\xa0года', 'Длина электрокабеля': '2.5\xa0м', 'Дополнительная гарантия': 'нет', 'Дополнительная рукоятка': 'в комплекте', 'Максимальная частота вращения': '560\xa0об/мин', 'Максимальное число ударов': '3530\xa0уд/мин', 'Максимальный диаметр сверления в бетоне': '40\xa0мм', 'Максимальный диаметр сверления коронкой в бетоне': '80\xa0мм', 'Максимальный диаметр сверления коронкой в кирпиче': '80\xa0мм', 'Минимальная частота вращения': '200\xa0об/мин', 'Минимальное число ударов': '1300\xa0уд/мин', 'Назначение': 'проф.', 'Наличие встроенного пылеудаления': 'нет', 'Номинальное напряжение питания': '220\xa0В', 'Тип электродвигателя': 'коллекторный', 'Упаковка': 'кейс'}"
Перфоратор Энкор ПЭ-850/28ЭР (50118),7 000,https://www.enkor24.ru/product/83024-perforator-enkor-pe-850-28er-50118,"{'Номинальная потребляемая мощность': '850\xa0Вт', 'Число режимов': '3', 'Сила удара': '3.3\xa0Дж', 'Вес': 'Легкий', 'Исполнение перфоратора': 'линейная компоновка', 'Защитная муфта расцепления': 'да', 'Наличие виброзащиты': 'да', 'Регулировка частоты вращения': 'да', 'Реверс': 'да', 'Высота упаковки': '280\xa0мм', 'Длина упаковки': '230\xa0мм', 'Масса брутто': '4.5\xa0кг', 'Материал применения основной': 'бетон; камень; кирпич', 'Номинальная частота тока': '50\xa0Гц', 'Ширина упаковки': '290\xa0мм', 'Быстросменный патрон': 'нет', 'Вид регулировки': 'плавная, нажатием курка', 'Возможность подключения пылеотсоса': 'нет', 'Гарантийный срок': '2\xa0года', 'Дополнительная рукоятка': 'да', 'Максимальная частота вращения': '1300\xa0об/мин', 'Максимальное число ударов': '5100\xa0уд/мин', 'Максимальный диаметр сверления в бетоне': '28\xa0мм', 'Максимальный диаметр сверления коронкой в кирпиче': '70\xa0мм', 'Минимальная частота вращения': '0\xa0об/мин', 'Назначение': 'проф.', 'Наличие встроенного пылеудаления': 'нет', 'Номинальное напряжение питания': '220\xa0В', 'Подсветка рабочей зоны': 'нет', 'Тип и стандарт патрона': 'sds+', 'Упаковка': 'кейс', 'Частота вращения шпинделя на холостом ходу': '1300\xa0об/мин', 'Число скоростей': '1'}"
Перфоратор Энкор ПЭ-870/26ЭР (50113),5 990,https://www.enkor24.ru/product/9952-perforator-enkor-pe-870-26er-50113,"{'Номинальная потребляемая мощность': '870\xa0Вт', 'Число режимов': '3', 'Сила удара': '3.2\xa0Дж', 'Вес': 'Легкий', 'Исполнение перфоратора': 'линейная компоновка', 'Защитная муфта расцепления': 'да', 'Наличие виброзащиты': 'нет', 'Регулировка частоты вращения': 'да', 'Реверс': 'да', 'Высота упаковки': '110\xa0мм', 'Длина упаковки': '450\xa0мм', 'Масса брутто': '4.67\xa0кг', 'Материал применения основной': 'бетон; камень; кирпич', 'Номинальная частота тока': '50\xa0Гц', 'Ширина упаковки': '290\xa0мм', 'Быстросменный патрон': 'нет', 'Дополнительная рукоятка': 'да', 'Максимальная частота вращения': '850\xa0об/мин', 'Максимальное число ударов': '4700\xa0уд/мин', 'Максимальный диаметр сверления в бетоне': '26\xa0мм', 'Максимальный диаметр сверления коронкой в кирпиче': '70\xa0мм', 'Назначение': 'быт.', 'Наличие встроенного пылеудаления': 'нет', 'Номинальное напряжение питания': '220\xa0В', 'Подсветка рабочей зоны': 'нет', 'Тип и стандарт патрона': 'sds+', 'Упаковка': 'кейс', 'Число положений зубила': '36', 'Число скоростей': '1'}"
Перфоратор Энкор ПЭ-1050/30ЭР (50119),6 480,https://www.enkor24.ru/product/38229-perforator-enkor-pe-1050-30er-50119,"{'Номинальная потребляемая мощность': '1050\xa0Вт', 'Число режимов': '3', 'Сила удара': '3.5\xa0Дж', 'Вес': 'Легкий', 'Исполнение перфоратора': 'линейная компоновка', 'Защитная муфта расцепления': 'да', 'Наличие виброзащиты': 'нет', 'Регулировка частоты вращения': 'да', 'Реверс': 'да', 'Высота упаковки': '115\xa0мм', 'Длина упаковки': '450\xa0мм', 'Масса брутто': '5.04\xa0кг', 'Материал применения основной': 'бетон; камень; кирпич', 'Номинальная частота тока': '50\xa0Гц', 'Ширина упаковки': '280\xa0мм', 'Быстросменный патрон': 'нет', 'Дополнительная рукоятка': 'да', 'Максимальная частота вращения': '980\xa0об/мин', 'Максимальное число ударов': '5400\xa0уд/мин', 'Максимальный диаметр сверления в бетоне': '30\xa0мм', 'Максимальный диаметр сверления в древесине': '30\xa0мм', 'Максимальный диаметр сверления в стали': '13\xa0мм', 'Максимальный диаметр сверления коронкой в кирпиче': '70\xa0мм', 'Назначение': 'быт.', 'Наличие встроенного пылеудаления': 'нет', 'Номинальное напряжение питания': '220\xa0В', 'Подсветка рабочей зоны': 'нет', 'Тип и стандарт патрона': 'sds+', 'Упаковка': 'кейс', 'Число положений зубила': '36', 'Число скоростей': '1'}"
Перфоратор Энкор ПЭ-800/26ЭР (50117),6 350,https://www.enkor24.ru/product/83031-perforator-enkor-pe-800-26er-50117,"{'Номинальная потребляемая мощность': '800\xa0Вт', 'Число режимов': '3', 'Сила удара': '3.1\xa0Дж', 'Вес': 'Легкий', 'Исполнение перфоратора': 'линейная компоновка', 'Защитная муфта расцепления': 'да', 'Наличие виброзащиты': 'да', 'Регулировка частоты вращения': 'да', 'Реверс': 'да', 'Высота упаковки': '296\xa0мм', 'Длина упаковки': '460\xa0мм', 'Масса брутто': '4.7\xa0кг', 'Материал применения основной': 'бетон; камень; кирпич', 'Номинальная частота тока': '50\xa0Гц', 'Ширина упаковки': '125\xa0мм', 'Быстросменный патрон': 'нет', 'Вид регулировки': 'плавная, нажатием курка', 'Возможность подключения пылеотсоса': 'нет', 'Гарантийный срок': '2\xa0года', 'Дополнительная рукоятка': 'да', 'Максимальная частота вращения': '1300\xa0об/мин', 'Максимальное число ударов': '4800\xa0уд/мин', 'Максимальный диаметр сверления в бетоне': '26\xa0мм', 'Максимальный диаметр сверления коронкой в кирпиче': '70\xa0мм', 'Минимальная частота вращения': '0\xa0об/мин', 'Назначение': 'проф.', 'Наличие встроенного пылеудаления': 'нет', 'Номинальное напряжение питания': '220\xa0В', 'Подсветка рабочей зоны': 'нет', 'Тип и стандарт патрона': 'sds+', 'Упаковка': 'кейс', 'Частота вращения шпинделя на холостом ходу': '1300\xa0об/мин', 'Число скоростей': '1'}"
Перфоратор SDS+  Энкор ПЭ-650/24Э (50111),4 690,https://www.enkor24.ru/product/112286-perforator-sds-enkor-pe-650-24e-50111,"{'Номинальная потребляемая мощность': '650\xa0Вт', 'Число режимов': '3', 'Сила удара': '2.3\xa0Дж', 'Вес': 'Тяжелый', 'Исполнение перфоратора': 'линейная компоновка', 'Защитная муфта расцепления': 'да', 'Наличие виброзащиты': 'нет', 'Регулировка частоты вращения': 'да', 'Реверс': 'да', 'Высота упаковки': '50\xa0мм', 'Длина упаковки': '300\xa0мм', 'Масса брутто': '2.9\xa0кг', 'Материал применения основной': 'бетон;  кирпич', 'Номинальная частота тока': '50\xa0Гц', 'Ширина упаковки': '150\xa0мм', 'Быстросменный патрон': 'нет', 'Вид регулировки': 'плавная, нажатием курка', 'Возможность подключения пылеотсоса': 'нет', 'Гарантийный срок': '2\xa0года', 'Дополнительная рукоятка': 'в комплекте', 'Максимальная частота вращения': '2000\xa0об/мин', 'Максимальное число ударов': '6300\xa0уд/мин', 'Максимальный диаметр сверления в бетоне': '24\xa0мм', 'Максимальный диаметр сверления в древесине': '30\xa0мм', 'Максимальный диаметр сверления в стали': '13\xa0мм', 'Максимальный диаметр сверления коронкой в кирпиче': '65\xa0мм', 'Минимальная частота вращения': '0\xa0об/мин', 'Минимальное число ударов': '0\xa0уд/мин', 'Наличие встроенного пылеудаления': 'нет', 'Номинальное напряжение питания': '220\xa0В', 'Подсветка рабочей зоны': 'нет', 'Тип и стандарт патрона': 'sds+', 'Упаковка': 'кейс', 'Частота вращения шпинделя на холостом ходу': '2000\xa0об/мин', 'Число скоростей': '1'}"
Перфоратор Энкор ПЭ-780/24ЭР (50116),6 300,https://www.enkor24.ru/product/83030-perforator-enkor-pe-780-24er-50116,"{'Номинальная потребляемая мощность': '750\xa0Вт', 'Число режимов': '3', 'Сила удара': '3\xa0Дж', 'Вес': 'Легкий', 'Исполнение перфоратора': 'линейная компоновка', 'Защитная муфта расцепления': 'да', 'Наличие виброзащиты': 'да', 'Регулировка частоты вращения': 'да', 'Реверс': 'да', 'Высота упаковки': '290\xa0мм', 'Длина упаковки': '442\xa0мм', 'Масса брутто': '4.5\xa0кг', 'Материал применения основной': 'бетон; камень; кирпич', 'Номинальная частота тока': '50\xa0Гц', 'Ширина упаковки': '119\xa0мм', 'Быстросменный патрон': 'нет', 'Вид регулировки': 'плавная, нажатием курка', 'Возможность подключения пылеотсоса': 'нет', 'Гарантийный срок': '2\xa0года', 'Дополнительная рукоятка': 'да', 'Максимальная частота вращения': '1300\xa0об/мин', 'Максимальное число ударов': '4800\xa0уд/мин', 'Максимальный диаметр сверления в бетоне': '24\xa0мм', 'Максимальный диаметр сверления коронкой в кирпиче': '65\xa0мм', 'Минимальная частота вращения': '0\xa0об/мин', 'Назначение': 'проф.', 'Наличие встроенного пылеудаления': 'нет', 'Номинальное напряжение питания': '220\xa0В', 'Подсветка рабочей зоны': 'нет', 'Тип и стандарт патрона': 'sds+', 'Упаковка': 'кейс', 'Частота вращения шпинделя на холостом ходу': '1300\xa0об/мин', 'Число скоростей': '1'}"
