name,"('Платье НиРо', 466926900)","('Платье VIVAWOOL', 586010737)","('Платье ТВОЕ', 486718207)","('Туника Опт-мода', 513130826)","('Платье НиРо Большие размеры', 403824111)","('Платье ТВОЕ', 224568134)","('Платье', 654550208)","('Платье ТВОЕ', 445688388)","('Платье ТВОЕ', 599158171)","('Платье Happyfox Для женщин', 604962690)","('Сарафан ИВАНОВНА', 634016241)","('Платье', 647428029)","('Платье', 654644362)","('Платье AlicaTeks37', 466918034)","('Платье ТВОЕ', 629798338)","('Платье ТВОЕ', 578752731)","('Сарафан Опт-мода', 228949215)","('Платье', 647324846)","('Платье The One Infinity Story by Alena Rafikova', 240667056)","('Сарафан Опт-мода', 228919573)","('Платье Milugion', 583903245)","('Платье ТВОЕ', 547640747)","('Платье', 655615942)","('Платье Опт-мода', 479529304)","('Платье', 586638397)","('Платье fadjo', 531865101)","('Платье Milugion', 583905571)","('Платье', 647368057)","('Платье', 647391400)","('Платье ZARKA', 264576616)","('Платье ТВОЕ', 499925686)","('Туника IHOMELUX Женская коллекция', 281163410)","('Платье Fashion AnastatioN', 383468158)","('Платье', 655615593)","('Сарафан POLNOLUNIE', 576808060)","('Платье', 586695736)"
"('Платье НиРо', 466926900)",100.0,15.79,26.32,29.82,64.91,21.05,8.77,26.32,22.81,24.56,26.32,10.53,8.77,21.05,17.54,24.56,28.07,8.77,40.35,28.07,22.81,28.07,8.77,24.56,10.53,31.58,22.81,15.79,8.77,19.3,24.56,38.6,24.56,8.77,14.04,10.53
"('Платье VIVAWOOL', 586010737)",15.79,100.0,35.09,29.82,15.79,29.82,12.28,31.58,33.33,33.33,15.79,12.28,12.28,8.77,28.07,33.33,33.33,12.28,15.79,47.37,19.3,33.33,12.28,33.33,29.82,12.28,19.3,12.28,14.04,12.28,33.33,29.82,19.3,14.04,12.28,12.28
"('Платье ТВОЕ', 486718207)",26.32,35.09,100.0,38.6,26.32,59.65,12.28,75.44,63.16,42.11,19.3,17.54,26.32,31.58,63.16,47.37,56.14,12.28,24.56,42.11,24.56,52.63,12.28,59.65,15.79,22.81,24.56,12.28,28.07,35.09,57.89,42.11,26.32,17.54,17.54,14.04
"('Туника Опт-мода', 513130826)",29.82,29.82,38.6,100.0,29.82,35.09,8.77,38.6,38.6,38.6,21.05,8.77,8.77,17.54,29.82,33.33,47.37,8.77,28.07,47.37,29.82,36.84,8.77,42.11,10.53,19.3,33.33,12.28,8.77,17.54,38.6,38.6,29.82,8.77,14.04,10.53
"('Платье НиРо Большие размеры', 403824111)",64.91,15.79,26.32,29.82,100.0,21.05,8.77,26.32,22.81,24.56,26.32,10.53,8.77,35.09,17.54,24.56,28.07,8.77,26.32,28.07,22.81,28.07,8.77,24.56,10.53,17.54,22.81,15.79,8.77,19.3,24.56,38.6,24.56,8.77,14.04,10.53
"('Платье ТВОЕ', 224568134)",21.05,29.82,59.65,35.09,21.05,100.0,8.77,59.65,63.16,35.09,19.3,14.04,22.81,26.32,54.39,42.11,49.12,8.77,19.3,36.84,21.05,40.35,8.77,50.88,10.53,15.79,22.81,10.53,22.81,28.07,47.37,36.84,21.05,12.28,17.54,10.53
"('Платье', 654550208)",8.77,12.28,12.28,8.77,8.77,8.77,100.0,8.77,12.28,12.28,8.77,21.05,24.56,1.75,19.3,12.28,12.28,21.05,8.77,12.28,12.28,12.28,14.04,12.28,19.3,19.3,12.28,35.09,14.04,19.3,12.28,8.77,12.28,21.05,5.26,19.3
"('Платье ТВОЕ', 445688388)",26.32,31.58,75.44,38.6,26.32,59.65,8.77,100.0,56.14,38.6,19.3,10.53,22.81,31.58,57.89,42.11,54.39,8.77,24.56,38.6,21.05,50.88,8.77,56.14,12.28,15.79,21.05,8.77,24.56,31.58,49.12,42.11,22.81,10.53,14.04,10.53
"('Платье ТВОЕ', 599158171)",22.81,33.33,63.16,38.6,22.81,63.16,12.28,56.14,100.0,38.6,19.3,17.54,26.32,28.07,57.89,45.61,52.63,12.28,19.3,40.35,26.32,43.86,12.28,54.39,14.04,19.3,28.07,14.04,26.32,33.33,52.63,36.84,26.32,15.79,21.05,14.04
"('Платье Happyfox Для женщин', 604962690)",24.56,33.33,42.11,38.6,24.56,35.09,12.28,38.6,38.6,100.0,21.05,12.28,12.28,15.79,42.11,47.37,42.11,14.04,22.81,42.11,24.56,40.35,12.28,42.11,14.04,21.05,26.32,12.28,12.28,22.81,42.11,38.6,24.56,12.28,15.79,15.79
"('Сарафан ИВАНОВНА', 634016241)",26.32,15.79,19.3,21.05,26.32,19.3,8.77,19.3,19.3,21.05,100.0,8.77,8.77,22.81,12.28,17.54,24.56,8.77,26.32,24.56,21.05,17.54,8.77,21.05,10.53,14.04,21.05,8.77,8.77,17.54,21.05,22.81,19.3,8.77,12.28,10.53
"('Платье', 647428029)",10.53,12.28,17.54,8.77,10.53,14.04,21.05,10.53,17.54,12.28,8.77,100.0,21.05,5.26,24.56,14.04,12.28,26.32,8.77,12.28,15.79,14.04,14.04,12.28,19.3,26.32,15.79,21.05,14.04,26.32,17.54,14.04,12.28,24.56,7.02,19.3
"('Платье', 654644362)",8.77,12.28,26.32,8.77,8.77,22.81,24.56,22.81,26.32,12.28,8.77,21.05,100.0,15.79,33.33,12.28,26.32,21.05,8.77,12.28,12.28,12.28,14.04,26.32,19.3,19.3,12.28,21.05,28.07,33.33,12.28,10.53,12.28,21.05,5.26,19.3
"('Платье AlicaTeks37', 466918034)",21.05,8.77,31.58,17.54,35.09,26.32,1.75,31.58,28.07,15.79,22.81,5.26,15.79,100.0,22.81,12.28,29.82,5.26,17.54,15.79,17.54,15.79,1.75,29.82,3.51,12.28,17.54,1.75,15.79,31.58,15.79,24.56,14.04,1.75,12.28,3.51
"('Платье ТВОЕ', 629798338)",17.54,28.07,63.16,29.82,17.54,54.39,19.3,57.89,57.89,42.11,12.28,24.56,33.33,22.81,100.0,47.37,50.88,19.3,14.04,36.84,19.3,42.11,12.28,50.88,22.81,28.07,19.3,19.3,28.07,42.11,47.37,33.33,19.3,24.56,10.53,21.05
"('Платье ТВОЕ', 578752731)",24.56,33.33,47.37,33.33,24.56,42.11,12.28,42.11,45.61,47.37,17.54,14.04,12.28,12.28,47.37,100.0,38.6,12.28,17.54,40.35,22.81,49.12,12.28,40.35,12.28,15.79,22.81,15.79,12.28,17.54,47.37,36.84,21.05,12.28,15.79,14.04
"('Сарафан Опт-мода', 228949215)",28.07,33.33,56.14,47.37,28.07,49.12,12.28,54.39,52.63,42.11,24.56,12.28,26.32,29.82,50.88,38.6,100.0,12.28,24.56,64.91,26.32,42.11,12.28,61.4,14.04,19.3,26.32,15.79,26.32,35.09,43.86,38.6,28.07,12.28,15.79,14.04
"('Платье', 647324846)",8.77,12.28,12.28,8.77,8.77,8.77,21.05,8.77,12.28,14.04,8.77,26.32,21.05,5.26,19.3,12.28,12.28,100.0,8.77,12.28,15.79,12.28,14.04,12.28,19.3,24.56,15.79,21.05,14.04,26.32,12.28,12.28,12.28,21.05,5.26,19.3
"('Платье The One Infinity Story by Alena Rafikova', 240667056)",40.35,15.79,24.56,28.07,26.32,19.3,8.77,24.56,19.3,22.81,26.32,8.77,8.77,17.54,14.04,17.54,24.56,8.77,100.0,24.56,28.07,24.56,8.77,28.07,12.28,33.33,28.07,8.77,8.77,15.79,26.32,26.32,22.81,8.77,12.28,12.28
"('Сарафан Опт-мода', 228919573)",28.07,47.37,42.11,47.37,28.07,36.84,12.28,38.6,40.35,42.11,24.56,12.28,12.28,15.79,36.84,40.35,64.91,12.28,24.56,100.0,28.07,40.35,12.28,50.88,28.07,19.3,28.07,15.79,12.28,21.05,45.61,38.6,28.07,12.28,15.79,14.04
"('Платье Milugion', 583903245)",22.81,19.3,24.56,29.82,22.81,21.05,12.28,21.05,26.32,24.56,21.05,15.79,12.28,17.54,19.3,22.81,26.32,15.79,28.07,28.07,100.0,24.56,14.04,31.58,14.04,24.56,78.95,12.28,12.28,22.81,28.07,26.32,29.82,12.28,15.79,14.04
"('Платье ТВОЕ', 547640747)",28.07,33.33,52.63,36.84,28.07,40.35,12.28,50.88,43.86,40.35,17.54,14.04,12.28,15.79,42.11,49.12,42.11,12.28,24.56,40.35,24.56,100.0,14.04,45.61,14.04,24.56,22.81,15.79,14.04,19.3,50.88,40.35,29.82,26.32,15.79,14.04
"('Платье', 655615942)",8.77,12.28,12.28,8.77,8.77,8.77,14.04,8.77,12.28,12.28,8.77,14.04,14.04,1.75,12.28,12.28,12.28,14.04,8.77,12.28,14.04,14.04,100.0,14.04,12.28,26.32,12.28,14.04,21.05,12.28,12.28,8.77,12.28,14.04,5.26,12.28
"('Платье Опт-мода', 479529304)",24.56,33.33,59.65,42.11,24.56,50.88,12.28,56.14,54.39,42.11,21.05,12.28,26.32,29.82,50.88,40.35,61.4,12.28,28.07,50.88,31.58,45.61,14.04,100.0,14.04,19.3,28.07,12.28,26.32,35.09,47.37,42.11,24.56,12.28,15.79,14.04
"('Платье', 586638397)",10.53,29.82,15.79,10.53,10.53,10.53,19.3,12.28,14.04,14.04,10.53,19.3,19.3,3.51,22.81,12.28,14.04,19.3,12.28,28.07,14.04,14.04,12.28,14.04,100.0,22.81,14.04,19.3,14.04,21.05,14.04,10.53,14.04,21.05,7.02,24.56
"('Платье fadjo', 531865101)",31.58,12.28,22.81,19.3,17.54,15.79,19.3,15.79,19.3,21.05,14.04,26.32,19.3,12.28,28.07,15.79,19.3,24.56,33.33,19.3,24.56,24.56,26.32,19.3,22.81,100.0,24.56,19.3,12.28,29.82,21.05,19.3,26.32,22.81,8.77,26.32
"('Платье Milugion', 583905571)",22.81,19.3,24.56,33.33,22.81,22.81,12.28,21.05,28.07,26.32,21.05,15.79,12.28,17.54,19.3,22.81,26.32,15.79,28.07,28.07,78.95,22.81,12.28,28.07,14.04,24.56,100.0,12.28,12.28,22.81,28.07,26.32,29.82,12.28,17.54,14.04
"('Платье', 647368057)",15.79,12.28,12.28,12.28,15.79,10.53,35.09,8.77,14.04,12.28,8.77,21.05,21.05,1.75,19.3,15.79,15.79,21.05,8.77,15.79,12.28,15.79,14.04,12.28,19.3,19.3,12.28,100.0,14.04,19.3,12.28,8.77,15.79,21.05,7.02,19.3
"('Платье', 647391400)",8.77,14.04,28.07,8.77,8.77,22.81,14.04,24.56,26.32,12.28,8.77,14.04,28.07,15.79,28.07,12.28,26.32,14.04,8.77,12.28,12.28,14.04,21.05,26.32,14.04,12.28,12.28,14.04,100.0,26.32,12.28,8.77,12.28,15.79,5.26,12.28
"('Платье ZARKA', 264576616)",19.3,12.28,35.09,17.54,19.3,28.07,19.3,31.58,33.33,22.81,17.54,26.32,33.33,31.58,42.11,17.54,35.09,26.32,15.79,21.05,22.81,19.3,12.28,35.09,21.05,29.82,22.81,19.3,26.32,100.0,21.05,21.05,17.54,19.3,10.53,21.05
"('Платье ТВОЕ', 499925686)",24.56,33.33,57.89,38.6,24.56,47.37,12.28,49.12,52.63,42.11,21.05,17.54,12.28,15.79,47.37,47.37,43.86,12.28,26.32,45.61,28.07,50.88,12.28,47.37,14.04,21.05,28.07,12.28,12.28,21.05,100.0,40.35,26.32,15.79,17.54,14.04
"('Туника IHOMELUX Женская коллекция', 281163410)",38.6,29.82,42.11,38.6,38.6,36.84,8.77,42.11,36.84,38.6,22.81,14.04,10.53,24.56,33.33,36.84,38.6,12.28,26.32,38.6,26.32,40.35,8.77,42.11,10.53,19.3,26.32,8.77,8.77,21.05,40.35,100.0,21.05,8.77,14.04,10.53
"('Платье Fashion AnastatioN', 383468158)",24.56,19.3,26.32,29.82,24.56,21.05,12.28,22.81,26.32,24.56,19.3,12.28,12.28,14.04,19.3,21.05,28.07,12.28,22.81,28.07,29.82,29.82,12.28,24.56,14.04,26.32,29.82,15.79,12.28,17.54,26.32,21.05,100.0,12.28,17.54,14.04
"('Платье', 655615593)",8.77,14.04,17.54,8.77,8.77,12.28,21.05,10.53,15.79,12.28,8.77,24.56,21.05,1.75,24.56,12.28,12.28,21.05,8.77,12.28,12.28,26.32,14.04,12.28,21.05,22.81,12.28,21.05,15.79,19.3,15.79,8.77,12.28,100.0,5.26,19.3
"('Сарафан POLNOLUNIE', 576808060)",14.04,12.28,17.54,14.04,14.04,17.54,5.26,14.04,21.05,15.79,12.28,7.02,5.26,12.28,10.53,15.79,15.79,5.26,12.28,15.79,15.79,15.79,5.26,15.79,7.02,8.77,17.54,7.02,5.26,10.53,17.54,14.04,17.54,5.26,100.0,7.02
"('Платье', 586695736)",10.53,12.28,14.04,10.53,10.53,10.53,19.3,10.53,14.04,15.79,10.53,19.3,19.3,3.51,21.05,14.04,14.04,19.3,12.28,14.04,14.04,14.04,12.28,14.04,24.56,26.32,14.04,19.3,12.28,21.05,14.04,10.53,14.04,19.3,7.02,100.0
