offer_id,name,Сезон,Материал,Состав материала,Коллекция,Стиль,Размер товара на фото,Рост модели на фото,Тип,Бренд в одежде и обуви,Российский размер,Пол,Страна-изготовитель,Вид принта,Инструкция по уходу,Вид одежды,Тип застежки,Тип упаковки одежды,Размер производителя,Цвет,Длина рукава,Рост,Материал подклада/внутренней отделки,Вид спорта,Количество в упаковке,"Длина изделия, см",Параметры модели на фото,Серия в одежде и обуви,Детали,"Вес товара, г"
553684064,Футболка ТВОЕ,На любой сезон,Хлопок,100% Хлопок,Весна-лето 2022,Повседневный,44,172 см,Футболка,ТВОЕ,48,Женский,Россия,Принт/Логотип,стирка при t не более 30С; щадящий режим отжима,прямая,Без застежки,Пакет,L,Розовый,Короткий,,,,,,,,,
541633464,"Футболка Mechtay, 1 шт",На любой сезон,Трикотаж,"95% хлопок, 5% лайкра",Базовая коллекция,,46,170 см,Футболка,Mechtay,42,Женский,Россия,Однотонный,бережная стирка,укороченная модель,Без застежки,Блистер,S,"Желтый, лимонный",Короткий,150-185,Без подклада,Фитнес,1,70-75,,,,
469025837,Футболка Pavlotti,На любой сезон,Хлопок,100% хлопок,Базовая коллекция,Повседневный,,,Футболка,Pavlotti,44,Женский,Россия,Принт/Логотип,,,,Пакет,44,Черный,,164,,,,60,,,,
561044919,Футболка ТВОЕ,На любой сезон,Хлопок,100% Хлопок,Весна-лето 2022,Повседневный,44,172 см,Футболка,ТВОЕ,46,Женский,Россия,Надписи,стирка при t не более 30С; щадящий режим отжима,прямая,Без застежки,Пакет,M,Черный,Короткий,,,Фитнес,,,,,,
584914858,Футболка ТВОЕ,На любой сезон,Хлопок,100% Хлопок,Весна-лето 2022,Повседневный,44,173 см,Футболка,ТВОЕ,42,Женский,Россия,Однотонный,стирка при t не более 30С; щадящий режим отжима,оверсайз,Без застежки,Пакет,XS,Бежевый,Короткий,,,Фитнес,,,,,,
507023972,Футболка ТВОЕ,На любой сезон,Хлопок,93% Хлопок; 7% Лайкра,Весна-лето 2022,Повседневный,44,177 см,Футболка,ТВОЕ,50,Женский,Россия,Принт/Логотип,стирка при t не более 30С; щадящий режим отжима,приталенная,Без застежки,Пакет,XL,Темно-синий,Короткий,,,Фитнес,,,,,,
226455110,"Футболка Vilatte, 1 шт",На любой сезон,,Хлопок,Весна-лето 2021,Повседневный,46,,Футболка,Vilatte,50,Женский,,,,,,Пакет,50,Белый,Без рукавов,145-170,,,1,,,,,
478020597,Футболка ТВОЕ,На любой сезон,Хлопок,100% Хлопок,Осень-зима 2021,Повседневный,44,172 см,Футболка,ТВОЕ,42,Женский,Россия,Принт/Логотип,стирка при t не более 30С; щадящий режим отжима,свободная модель,Без застежки,Пакет,XS,Черный,Короткий,,,Фитнес,,,,,,
605552872,Футболка Апрель,Лето,Вискоза,"вискоза 90%, лайкра 10%",Весна-лето 2022,Повседневный,,,Футболка,Апрель,56,Женский,Россия,Однотонный,,свободная модель,Без застежки,Пакет,112-164,Темно-синий,,164,,,,58,,,,
579566690,Футболка ТВОЕ,На любой сезон,Хлопок,100% Хлопок,Весна-лето 2022,Повседневный,44,173 см,Футболка,ТВОЕ,42,Женский,Молдова,Принт/Логотип,стирка при t не более 30С; щадящий режим отжима,прямая,Без застежки,Пакет,XS,Черный,,,,Фитнес,,55,,,,
