name,"('Футболка ТВОЕ', 553684064.0)","('Футболка Mechtay, 1 шт', 541633464.0)","('Футболка Pavlotti', 469025837.0)","('Футболка ТВОЕ', 561044919.0)","('Футболка ТВОЕ', 584914858.0)","('Футболка ТВОЕ', 507023972.0)","('Футболка Vilatte, 1 шт', 226455110.0)","('Футболка ТВОЕ', 478020597.0)","('Футболка Апрель', 605552872.0)","('Футболка ТВОЕ', 579566690.0)","(nan, nan)","(nan, nan)","('Футболка, 1 шт', 547656257.0)","('Футболка ТВОЕ', 522406676.0)","('Футболка ТВОЕ', 579565134.0)","('Футболка Апрель', 514665485.0)","('Футболка, 1 шт', 547897624.0)","('Футболка, 1 шт', 547657142.0)","('Футболка ТВОЕ', 515326488.0)","('Футболка ТВОЕ', 512131478.0)","('Футболка ТВОЕ', 528591629.0)","('Футболка ТВОЕ', 515326656.0)","(nan, nan)","('Футболка ТВОЕ', 579567018.0)","('Футболка футболка, 1 шт', 623971928.0)","('Футболка ТВОЕ', 569682067.0)","(nan, nan)","(nan, nan)","('Футболка, 1 шт', 550054914.0)","('Футболка ТВОЕ', 507023685.0)","('Футболка ТВОЕ', 512131488.0)","('Футболка KINZA Новинка, 1 шт', 640198208.0)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)"
"('Футболка ТВОЕ', 553684064.0)",105.56,24.07,37.04,74.04,69.23,53.7,20.37,75.96,20.37,77.88,0.0,0.0,29.63,80.77,66.35,31.48,12.96,31.48,75.96,77.88,69.23,75.96,69.23,77.88,51.85,76.92,7.41,0.0,31.48,74.04,70.19,27.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Футболка Mechtay, 1 шт', 541633464.0)",24.07,105.56,22.22,25.93,42.59,25.93,20.37,27.78,27.78,22.22,,,24.07,27.78,20.37,31.48,11.11,25.93,25.93,25.93,40.74,27.78,,22.22,33.33,22.22,,,25.93,18.52,42.59,29.63,0.0,0.0,20.37,11.11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Футболка Pavlotti', 469025837.0)",37.04,22.22,105.56,37.04,22.22,37.04,20.37,51.85,16.67,50.0,,,16.67,53.7,35.19,16.67,9.26,18.52,37.04,37.04,22.22,37.04,,35.19,71.15,37.04,,,22.22,50.0,24.07,27.78,,,,,,0.0,0.0,18.52,54.81,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Футболка ТВОЕ', 561044919.0)",74.04,25.93,37.04,105.56,70.19,40.74,20.37,76.92,20.37,78.85,,,27.78,81.73,82.69,31.48,12.96,29.63,71.15,73.08,72.12,69.23,,71.15,40.74,68.27,,,31.48,75.96,71.15,27.78,,,,,,,,,,,0.0,0.0,61.54,7.41,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Футболка ТВОЕ', 584914858.0)",69.23,42.59,22.22,70.19,105.56,40.74,20.37,70.19,35.19,70.19,,,35.19,70.19,68.27,38.89,12.96,37.04,68.27,70.19,77.88,70.19,,70.19,46.3,68.27,,,38.89,66.35,77.88,27.78,,,,,,,,,,,,,,,,0.0,0.0,60.58,7.41,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Футболка ТВОЕ', 507023972.0)",53.7,25.93,37.04,40.74,40.74,105.56,22.22,51.85,35.19,50.0,,,27.78,55.56,38.89,25.93,14.81,29.63,59.26,62.96,40.74,59.26,,50.0,46.3,59.26,,,31.48,50.0,48.15,27.78,,,,,,,,,,,,,,,,,,,,,0.0,0.0,22.22,7.41,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Футболка Vilatte, 1 шт', 226455110.0)",20.37,20.37,20.37,20.37,20.37,22.22,105.56,20.37,12.96,20.37,,,18.52,20.37,22.22,14.81,12.96,20.37,35.19,35.19,20.37,20.37,,20.37,22.22,35.19,,,22.22,20.37,20.37,37.04,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18.52,7.41,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Футболка ТВОЕ', 478020597.0)",75.96,27.78,51.85,76.92,70.19,51.85,20.37,105.56,24.07,82.69,,,24.07,83.65,76.92,20.37,9.26,25.93,76.92,76.92,72.12,78.85,,75.0,46.3,74.04,,,27.78,79.81,69.23,35.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,60.58,7.41,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Футболка Апрель', 605552872.0)",20.37,27.78,16.67,20.37,35.19,35.19,12.96,24.07,105.56,18.52,,,14.81,20.37,25.93,48.15,20.37,16.67,16.67,20.37,42.59,16.67,,18.52,18.52,20.37,,,18.52,18.52,35.19,25.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11.11,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"('Футболка ТВОЕ', 579566690.0)",77.88,22.22,50.0,78.85,70.19,50.0,20.37,82.69,18.52,105.56,,,24.07,86.54,76.92,25.93,12.96,25.93,73.08,75.0,67.31,75.0,,82.69,48.15,75.0,,,27.78,82.69,67.31,22.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,58.65,7.41,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
