name,"('Рубашка Katty Po', 584005427)","('Блузка', 560122531)","('Рубашка ТВОЕ', 509374399)","('Рубашка Mechtay', 318949926)","('Блузка ТВОЕ', 522888237)","('Рубашка Katty Po', 407602001)","('Рубашка Pretty Woman Co', 450787103)","('Блузка ТВОЕ', 522888290)","('Рубашка Vintage Стиль. Бестселлеры', 639945267)","('Блузка Cosagach', 319199736)","('Рубашка PARETO', 410665541)","('Рубашка PARETO', 313496441)","('Рубашка ТВОЕ', 509374321)","('Блузка SPARADA', 356548885)","('Рубашка Весь мир моды', 535972636)","('Рубашка Trendy Truth oversize', 292189564)","('Рубашка Fashion AnastatioN', 565219382)","('Рубашка Pretty Woman Co', 451206612)","('Блузка Planestetica', 481656925)","('Рубашка ТВОЕ', 509374491)","('Рубашка TRENDY.wear', 622100403)","('Рубашка', 617901120)","('Блузка Finn Flare', 590912111)","('Рубашка OVS', 348032843)","('Блузка GismoTop Одежда для женщин', 589725070)","('Блузка SPARADA', 343607572)","('Блузка DStrend', 598759612)","('Блузка DStrend', 598757615)","('Рубашка PN Market', 511272407)","('Рубашка ТВОЕ', 309090741)","('Рубашка Margo VITA', 607090881)","('Рубашка MirrorStore', 192712454)","('Рубашка', 617893591)","('Рубашка ТВОЕ', 509374453)","('Блузка By Babur', 462846576)"
"('Рубашка Katty Po', 584005427)",100.0,25.81,43.55,37.1,37.1,41.94,32.26,35.48,41.94,9.68,25.81,25.81,43.55,12.9,35.48,37.1,40.32,32.26,25.81,43.55,24.19,24.19,25.81,17.74,25.81,12.9,3.23,3.23,25.81,35.48,38.71,25.81,35.48,29.03,27.42
"('Блузка', 560122531)",25.81,100.0,24.19,24.19,29.03,14.52,22.58,29.03,32.26,20.97,16.13,16.13,24.19,33.87,27.42,25.81,35.48,35.48,32.26,24.19,12.9,22.58,32.26,9.68,32.26,20.97,11.29,11.29,16.13,35.48,29.03,16.13,25.81,11.29,41.94
"('Рубашка ТВОЕ', 509374399)",43.55,24.19,100.0,32.26,58.06,29.03,50.0,67.74,43.55,24.19,22.58,20.97,79.03,9.68,50.0,48.39,41.94,37.1,20.97,79.03,20.97,25.81,30.65,30.65,37.1,9.68,20.97,29.03,20.97,56.45,43.55,45.16,59.68,53.23,30.65
"('Рубашка Mechtay', 318949926)",37.1,24.19,32.26,100.0,25.81,22.58,32.26,25.81,41.94,11.29,24.19,22.58,33.87,9.68,33.87,37.1,35.48,32.26,20.97,33.87,27.42,22.58,25.81,14.52,17.74,9.68,4.84,4.84,22.58,32.26,35.48,24.19,38.71,19.35,29.03
"('Блузка ТВОЕ', 522888237)",37.1,29.03,58.06,25.81,100.0,22.58,30.65,64.52,37.1,17.74,16.13,14.52,54.84,16.13,41.94,41.94,35.48,30.65,27.42,54.84,14.52,19.35,35.48,22.58,29.03,16.13,12.9,20.97,14.52,35.48,37.1,25.81,40.32,41.94,37.1
"('Рубашка Katty Po', 407602001)",41.94,14.52,29.03,22.58,22.58,100.0,19.35,22.58,27.42,9.68,25.81,25.81,29.03,12.9,22.58,24.19,27.42,19.35,12.9,29.03,33.87,27.42,14.52,17.74,25.81,14.52,1.61,1.61,25.81,22.58,25.81,25.81,22.58,32.26,14.52
"('Рубашка Pretty Woman Co', 450787103)",32.26,22.58,50.0,32.26,30.65,19.35,100.0,43.55,46.77,24.19,24.19,22.58,50.0,8.06,46.77,43.55,27.42,67.74,17.74,50.0,19.35,17.74,20.97,19.35,27.42,8.06,22.58,32.26,20.97,40.32,41.94,45.16,54.84,24.19,24.19
"('Блузка ТВОЕ', 522888290)",35.48,29.03,67.74,25.81,64.52,22.58,43.55,100.0,38.71,30.65,14.52,14.52,67.74,16.13,40.32,41.94,35.48,30.65,27.42,67.74,12.9,17.74,35.48,20.97,41.94,16.13,24.19,33.87,16.13,48.39,37.1,37.1,53.23,41.94,38.71
"('Рубашка Vintage Стиль. Бестселлеры', 639945267)",41.94,32.26,43.55,41.94,37.1,27.42,46.77,38.71,100.0,11.29,29.03,27.42,43.55,14.52,46.77,61.29,35.48,46.77,24.19,43.55,24.19,25.81,27.42,25.81,20.97,14.52,4.84,14.52,30.65,33.87,50.0,38.71,48.39,30.65,32.26
"('Блузка Cosagach', 319199736)",9.68,20.97,24.19,11.29,17.74,9.68,24.19,30.65,11.29,100.0,11.29,9.68,24.19,9.68,12.9,14.52,9.68,11.29,8.06,24.19,11.29,22.58,16.13,3.23,38.71,9.68,24.19,24.19,11.29,30.65,9.68,24.19,29.03,11.29,29.03
