name,price,type,url,specifications
Аккумуляторный ударный гайковерт BOSCH GDX 18V-200 C Professional (0 615 990 M46),29 700,Аккумуляторные гайковёрты,https://www.enkor24.ru/product/111168-akkumulyatornyj-udarnyj-gajkovert-bosch-gdx-18v-200-c-professional-0-615-990-m46,"{'Максимальный крутящий момент': '200\xa0Н⋅м', 'Тип и стандарт патрона': 'наружный четырёхгранник 1/2""', 'Тип аккумулятора': 'li-ion', 'Реверс': 'да', 'Количество аккумуляторов в комплекте': '1', 'Частота вращения шпинделя на холостом ходу': '3400\xa0об/мин', 'Подсветка рабочей зоны': 'да', 'Назначение': 'проф.', 'Тип электродвигателя': 'вентильный (бесщеточный)', 'Масса нетто': '1.2\xa0кг', 'Номинальное напряжение питания': '18\xa0В', 'Упаковка': 'картон', 'Ёмкость аккумулятора': '4\xa0А⋅ч', 'Высота упаковки': '113\xa0мм', 'Гарантийный срок': '1\xa0год', 'Длина': '147\xa0мм', 'Длина упаковки': '325\xa0мм', 'Длительность зарядки аккумулятора примерная': '60\xa0мин', 'Дополнительная гарантия': '2 года (при регистрации на сайте)', 'Максимальное число ударов': '4200\xa0уд/мин', 'Масса брутто': '2.8\xa0кг', 'Посадка': '1/2""', 'Размер крепежа,М': '16', 'Род тока': 'постоянный', 'Тип компоновки аккумулятора': 'съёмный, слайдер', 'Ширина упаковки': '269\xa0мм'}"
Гайковерт аккумуляторный 1/2' DeWalt DCF899N-XJ,32 880,Аккумуляторные гайковёрты,https://www.enkor24.ru/product/101511-gajkovert-akkumulyatornyj-1-2-dewalt-dcf899n-xj,"{'Максимальный крутящий момент': '950\xa0Н⋅м', 'Тип и стандарт патрона': 'наружный четырёхгранник 1/2""', 'Тип аккумулятора': 'li-ion', 'Реверс': 'да', 'Количество аккумуляторов в комплекте': '0', 'Частота вращения шпинделя на холостом ходу': '1900\xa0об/мин', 'Подсветка рабочей зоны': 'да', 'Назначение': 'проф.', 'Тип электродвигателя': 'вентильный (бесщеточный)', 'Масса нетто': '3\xa0кг', 'Номинальное напряжение питания': '18\xa0В', 'Упаковка': 'картон', 'Высота': '278\xa0мм', 'Высота упаковки': '102\xa0мм', 'Гарантийный срок': '3\xa0года', 'Длина': '224\xa0мм', 'Длина упаковки': '448\xa0мм', 'Максимальное число ударов': '2400\xa0уд/мин', 'Масса брутто': '3.3\xa0кг', 'Посадка': '1/2""', 'Размер крепежа,М': '20', 'Род тока': 'постоянный', 'Тип компоновки аккумулятора': 'съёмный, слайдер', 'Ширина упаковки': '281\xa0мм'}"
Гайковерт аккумуляторный 1/2' Bosch GDS 18V-400 Professional (0 601 9K0 020),42 600,Аккумуляторные гайковёрты,https://www.enkor24.ru/product/112939-gajkovert-akkumulyatornyj-1-2-bosch-gds-18v-400-professional-0-601-9k0-020,"{'Максимальный крутящий момент': '400\xa0Н⋅м', 'Тип и стандарт патрона': 'наружный четырёхгранник 1/2""', 'Тип аккумулятора': 'li-ion', 'Реверс': 'да', 'Количество аккумуляторов в комплекте': '2', 'Частота вращения шпинделя на холостом ходу': '2500\xa0об/мин', 'Назначение': 'проф.', 'Тип электродвигателя': 'вентильный (бесщеточный)', 'Масса нетто': '1.25\xa0кг', 'Номинальное напряжение питания': '18\xa0В', 'Упаковка': 'кейс', 'Ёмкость аккумулятора': '5\xa0А⋅ч', 'Высота упаковки': '155\xa0мм', 'Гарантийный срок': '1\xa0год', 'Длина упаковки': '440\xa0мм', 'Длительность зарядки аккумулятора примерная': '70\xa0мин', 'Дополнительная гарантия': '2 года (при регистрации на сайте)', 'Максимальное число ударов': '3700\xa0уд/мин', 'Масса брутто': '4.3\xa0кг', 'Размер крепежа,М': '10;20', 'Род тока': 'постоянный', 'Тип компоновки аккумулятора': 'съёмный, слайдер', 'Ширина упаковки': '360\xa0мм'}"
Аккумуляторный ударный гайковерт DeWalt DCF815D2-QW,"17 267,99",Аккумуляторные гайковёрты,https://www.enkor24.ru/product/64222-akkumulyatornyj-udarnyj-gajkovert-dewalt-dcf815d2-qw,"{'Максимальный крутящий момент': '107\xa0Н⋅м', 'Тип и стандарт патрона': 'внутренний шестигранник 1/4""', 'Тип аккумулятора': 'li-ion', 'Реверс': 'да', 'Количество аккумуляторов в комплекте': '2', 'Частота вращения шпинделя на холостом ходу': '2450\xa0об/мин', 'Подсветка рабочей зоны': 'да', 'Назначение': 'проф.', 'Тип электродвигателя': 'коллекторный', 'Масса нетто': '1.04\xa0кг', 'Номинальное напряжение питания': '12\xa0В', 'Упаковка': 'кейс', 'Ёмкость аккумулятора': '2\xa0А⋅ч', 'Высота': '195\xa0мм', 'Высота упаковки': '393\xa0мм', 'Гарантийный срок': '3\xa0года', 'Длина': '158\xa0мм', 'Длина упаковки': '402\xa0мм', 'Длительность зарядки аккумулятора примерная': '40\xa0мин', 'Дополнительная гарантия': 'до 3 лет (при регистрации на сайте)', 'Максимальное число ударов': '3400\xa0уд/мин', 'Масса брутто': '2.99\xa0кг', 'Посадка': '1/4""', 'Размер крепежа,М': '3;10', 'Род тока': 'постоянный', 'Тип компоновки аккумулятора': 'съёмный, слайдер', 'Ширина упаковки': '147\xa0мм'}"
Аккумуляторный гайковерт Bosch GDS 250-LI Professional (0 601 9G6 120),32 600,Аккумуляторные гайковёрты,https://www.enkor24.ru/product/98654-akkumulyatornyj-gajkovert-bosch-gds-250-li-professional-0-601-9g6-120,"{'Максимальный крутящий момент': '250\xa0Н⋅м', 'Тип и стандарт патрона': 'наружный четырёхгранник 1/2""', 'Тип аккумулятора': 'li-ion', 'Реверс': 'да', 'Количество аккумуляторов в комплекте': '2', 'Частота вращения шпинделя на холостом ходу': '2400\xa0об/мин', 'Подсветка рабочей зоны': 'да', 'Назначение': 'проф.', 'Тип электродвигателя': 'коллекторный', 'Масса нетто': '2\xa0кг', 'Номинальное напряжение питания': '18\xa0В', 'Упаковка': 'кейс', 'Ёмкость аккумулятора': '3\xa0А⋅ч', 'Высота упаковки': '355\xa0мм', 'Гарантийный срок': '1\xa0год', 'Длина упаковки': '395\xa0мм', 'Длительность зарядки аккумулятора примерная': '60\xa0мин', 'Дополнительная гарантия': '2 года (при регистрации на сайте)', 'Максимальное число ударов': '3300\xa0уд/мин', 'Масса брутто': '3.7\xa0кг', 'Посадка': '1/2""', 'Размер крепежа,М': '18', 'Род тока': 'постоянный', 'Тип компоновки аккумулятора': 'съёмный, слайдер', 'Ширина упаковки': '120\xa0мм'}"
Аккумуляторный ударный гайковерт Stanley SBI201D2K,19 548,Аккумуляторные гайковёрты,https://www.enkor24.ru/product/95051-akkumulyatornyj-udarnyj-gajkovert-stanley-sbi201d2k,"{'Максимальный крутящий момент': '160\xa0Н⋅м', 'Тип и стандарт патрона': 'внутренний шестигранник 1/4""', 'Тип аккумулятора': 'li-ion', 'Реверс': 'да', 'Количество аккумуляторов в комплекте': '2', 'Частота вращения шпинделя на холостом ходу': '2700\xa0об/мин', 'Подсветка рабочей зоны': 'да', 'Тип электродвигателя': 'вентильный (бесщеточный)', 'Масса нетто': '1.4\xa0кг', 'Номинальное напряжение питания': '18\xa0В', 'Упаковка': 'кейс', 'Ёмкость аккумулятора': '2\xa0А⋅ч', 'Высота упаковки': '100\xa0мм', 'Гарантийный срок': '2\xa0года', 'Длина упаковки': '305\xa0мм', 'Длительность зарядки аккумулятора примерная': '60\xa0мин', 'Максимальное число ударов': '3100\xa0уд/мин', 'Масса брутто': '3.5\xa0кг', 'Посадка': '1/4""', 'Размер крепежа,М': '4;12', 'Род тока': 'постоянный', 'Тип компоновки аккумулятора': 'съёмный, слайдер', 'Ширина упаковки': '200\xa0мм'}"
Аккумуляторный импульсный шуруповерт 18.0 В XR DEWALT DCF887N-XJ ,13 080,Аккумуляторные гайковёрты,https://www.enkor24.ru/product/95440-akkumulyatornyj-impulsnyj-shurupovert-18-0-v-xr-dewalt-dcf887n-xj,"{'Максимальный крутящий момент': '205\xa0Н⋅м', 'Тип и стандарт патрона': 'внутренний шестигранник 1/4""', 'Тип аккумулятора': 'li-ion', 'Реверс': 'да', 'Количество аккумуляторов в комплекте': '0', 'Частота вращения шпинделя на холостом ходу': '3250\xa0об/мин', 'Подсветка рабочей зоны': 'да', 'Назначение': 'проф.', 'Тип электродвигателя': 'вентильный (бесщеточный)', 'Масса нетто': '0.9\xa0кг', 'Номинальное напряжение питания': '18\xa0В', 'Высота упаковки': '90\xa0мм', 'Гарантийный срок': '3\xa0года', 'Длина упаковки': '215\xa0мм', 'Максимальное число ударов': '3800\xa0уд/мин', 'Масса брутто': '1.2\xa0кг', 'Посадка': '1/4""', 'Размер крепежа,М': '4;12', 'Род тока': 'постоянный', 'Тип компоновки аккумулятора': 'съёмный, слайдер', 'Ширина упаковки': '160\xa0мм'}"
Аккумуляторный гайковерт Bosch GDS 18V-1050 H Professional (0 601 9J8 522),50 550,Аккумуляторные гайковёрты,https://www.enkor24.ru/product/108809-akkumulyatornyj-gajkovert-bosch-gds-18v-1050-h-professional-0-601-9j8-522,"{'Максимальный крутящий момент': '1050\xa0Н⋅м', 'Тип и стандарт патрона': 'наружный четырёхгранник 3/4""', 'Тип аккумулятора': 'li-ion', 'Реверс': 'да', 'Количество аккумуляторов в комплекте': '2', 'Частота вращения шпинделя на холостом ходу': '1750\xa0об/мин', 'Подсветка рабочей зоны': 'да', 'Назначение': 'проф.', 'Тип электродвигателя': 'вентильный (бесщеточный)', 'Масса нетто': '2.9\xa0кг', 'Номинальное напряжение питания': '18\xa0В', 'Упаковка': 'кейс', 'Ёмкость аккумулятора': '5\xa0А⋅ч', 'Высота': '222\xa0мм', 'Высота упаковки': '155\xa0мм', 'Гарантийный срок': '1\xa0год', 'Длина': '240\xa0мм', 'Длина упаковки': '440\xa0мм', 'Длительность зарядки аккумулятора примерная': '90\xa0мин', 'Дополнительная гарантия': '2 года (при регистрации на сайте)', 'Максимальное число ударов': '2600\xa0уд/мин', 'Масса брутто': '6.3\xa0кг', 'Посадка': '3/4""', 'Размер крепежа,М': '24', 'Род тока': 'постоянный', 'Тип компоновки аккумулятора': 'съёмный, слайдер', 'Ширина упаковки': '360\xa0мм'}"
Аккумуляторный ударный гайковерт Bosch GDX 18V-200 C Professional (0 601 9G4 204),23 700,Аккумуляторные гайковёрты,https://www.enkor24.ru/product/108996-akkumulyatornyj-udarnyj-gajkovert-bosch-gdx-18v-200-c-professional-0-601-9g4-204,"{'Максимальный крутящий момент': '200\xa0Н⋅м', 'Тип и стандарт патрона': 'наружный четырёхгранник 1/2""', 'Тип аккумулятора': 'li-ion', 'Реверс': 'да', 'Количество аккумуляторов в комплекте': '0', 'Частота вращения шпинделя на холостом ходу': '3400\xa0об/мин', 'Подсветка рабочей зоны': 'да', 'Назначение': 'проф.', 'Тип электродвигателя': 'вентильный (бесщеточный)', 'Масса нетто': '1.2\xa0кг', 'Номинальное напряжение питания': '18\xa0В', 'Упаковка': 'картон', 'Высота': '147\xa0мм', 'Высота упаковки': '262\xa0мм', 'Гарантийный срок': '1\xa0год', 'Длина': '253\xa0мм', 'Длина упаковки': '325\xa0мм', 'Дополнительная гарантия': '2 года (при регистрации на сайте)', 'Максимальное число ударов': '4000\xa0уд/мин', 'Масса брутто': '1.8\xa0кг', 'Посадка': '1/2""', 'Размер крепежа,М': '6;16', 'Род тока': 'постоянный', 'Тип компоновки аккумулятора': 'съёмный, слайдер', 'Ширина упаковки': '114\xa0мм'}"
Аккумуляторный гайковерт Bosch GDS 18V-1050 H Professional (0 601 9J8 502),64 950,Аккумуляторные гайковёрты,https://www.enkor24.ru/product/110169-akkumulyatornyj-gajkovert-bosch-gds-18v-1050-h-professional-0-601-9j8-502,"{'Максимальный крутящий момент': '1700\xa0Н⋅м', 'Тип и стандарт патрона': 'наружный четырёхгранник 3/4""', 'Тип аккумулятора': 'li-ion', 'Реверс': 'да', 'Количество аккумуляторов в комплекте': '2', 'Частота вращения шпинделя на холостом ходу': '1750\xa0об/мин', 'Подсветка рабочей зоны': 'да', 'Назначение': 'проф.', 'Тип электродвигателя': 'вентильный (бесщеточный)', 'Масса нетто': '4.2\xa0кг', 'Номинальное напряжение питания': '18\xa0В', 'Упаковка': 'кейс', 'Ёмкость аккумулятора': '8\xa0А⋅ч', 'Высота': '222\xa0мм', 'Высота упаковки': '130\xa0мм', 'Гарантийный срок': '1\xa0год', 'Длина': '240\xa0мм', 'Длина упаковки': '440\xa0мм', 'Длительность зарядки аккумулятора примерная': '90\xa0мин', 'Дополнительная гарантия': '2 года (при регистрации на сайте)', 'Максимальное число ударов': '2600\xa0уд/мин', 'Масса брутто': '6.5\xa0кг', 'Посадка': '3/4""', 'Размер крепежа,М': '24', 'Род тока': 'постоянный', 'Тип компоновки аккумулятора': 'съёмный, слайдер', 'Ширина упаковки': '360\xa0мм'}"
